Temp,m2,m18,m26,m27,m28,m29,m31,m39,m41,m44,m45,m56,m57,m70
1.768480999999999881e+02,1.264518349936489816e+00,1.975837889848246487e-01,1.434966953747456309e-01,1.484318964229913718e-01,4.148103293985885287e+00,2.812681495016313704e-01,5.568628553450520602e-02,4.079210467697839959e-02,6.069668464663768859e-02,1.269845799761355920e+00,2.706084837745692528e-02,1.104064086299082204e-02,7.325183238521548734e-03,6.784902435499465256e-03
1.768944999999999936e+02,1.264553503674090473e+00,1.977258653965596746e-01,1.440627790123940599e-01,1.488054576335082757e-01,4.150421393268477033e+00,2.870067581047237582e-01,5.572909100277868844e-02,4.082885900027878601e-02,6.098770617258009175e-02,1.273745550068067445e+00,2.717254936896495998e-02,1.101471380112950538e-02,7.305144943130975621e-03,6.796311401227023152e-03
1.768788000000000125e+02,1.264541608982704179e+00,1.976777921279339045e-01,1.438712377815520860e-01,1.486790586894326527e-01,4.149637036399152379e+00,2.850650306247999310e-01,5.571460725597067454e-02,4.081642273140344279e-02,6.088923552694880392e-02,1.272426022485841912e+00,2.713475399037285074e-02,1.102348653542307988e-02,7.311925142217873264e-03,6.792451039978698868e-03
1.767940999999999860e+02,1.264477438259109743e+00,1.974184414366846330e-01,1.428378911412755414e-01,1.479971484624760247e-01,4.145405506027698195e+00,2.745895963859616984e-01,5.563646882573865249e-02,4.074933024899950185e-02,6.035799580179102009e-02,1.265307297249234963e+00,2.693085153389163100e-02,1.107081459877769236e-02,7.348503668501954467e-03,6.771624759868255516e-03
1.767974000000000103e+02,1.264479938417172100e+00,1.974285460090711153e-01,1.428781513999877184e-01,1.480237163933966205e-01,4.145570370847366348e+00,2.749977301874793056e-01,5.563951318016328862e-02,4.075194424182045083e-02,6.037869345342072869e-02,1.265584650180533899e+00,2.693879578544289277e-02,1.106897064825736188e-02,7.347078531114256683e-03,6.772436173379053903e-03
1.768505000000000109e+02,1.264520168233262298e+00,1.975911377647420197e-01,1.435259755629001432e-01,1.484512185545701080e-01,4.148223195672917640e+00,2.815649740845529436e-01,5.568849961045040098e-02,4.079400576266635492e-02,6.071173748418656757e-02,1.270047510984118944e+00,2.706662601494880249e-02,1.103929980806694910e-02,7.324146774966858175e-03,6.785492554416412692e-03
1.769009000000000071e+02,1.264558352465483759e+00,1.977454621430059234e-01,1.441408595141386861e-01,1.488569833177175727e-01,4.150741131100559755e+00,2.877982903258420322e-01,5.573499520529918982e-02,4.083392856211333355e-02,6.102784707271013964e-02,1.274283446662098029e+00,2.718795640227639199e-02,1.101113765466586736e-02,7.302381040318481342e-03,6.797885051672211687e-03
1.769664999999999964e+02,1.264608052577263830e+00,1.979463287940795846e-01,1.449411846570209939e-01,1.493851215808619237e-01,4.154018443879394340e+00,2.959114955922785839e-01,5.579551328113412090e-02,4.088589157091730708e-02,6.143929129904224240e-02,1.279796886750895979e+00,2.734587849371872270e-02,1.097448215341367828e-02,7.274051036490439270e-03,6.814014968735307431e-03
1.769054999999999893e+02,1.264561837534297517e+00,1.977595473045140606e-01,1.441969798747675391e-01,1.488940174032427066e-01,4.150970942667367325e+00,2.883672041097646854e-01,5.573923885086078112e-02,4.083757230968189378e-02,6.105669834467852830e-02,1.274670059839055014e+00,2.719903020746899935e-02,1.100856729939514445e-02,7.300394485172015391e-03,6.799016112929677502e-03
1.768098999999999990e+02,1.264489408712861751e+00,1.974668209044737610e-01,1.430306523799576013e-01,1.481243524953677060e-01,4.146194858800649641e+00,2.765436915568457721e-01,5.565104482571110733e-02,4.076184572977852028e-02,6.045709364898699256e-02,1.266635229465745027e+00,2.696888764737925825e-02,1.106198598719559945e-02,7.341680283433613119e-03,6.775509709404797798e-03
1.768532999999999902e+02,1.264522289579496750e+00,1.975997113413121564e-01,1.435601357824132229e-01,1.484737610414113007e-01,4.148363080974451833e+00,2.819112694312870815e-01,5.569108269905310993e-02,4.079622369596895559e-02,6.072929912799329699e-02,1.270282840744004105e+00,2.707336659202247420e-02,1.103773524398911354e-02,7.322937567486406674e-03,6.786181026486176604e-03
1.769335000000000093e+02,1.264583050996642699e+00,1.978452830702163157e-01,1.445385820699005563e-01,1.491194422716581869e-01,4.152369795682725240e+00,2.918301575771522494e-01,5.576506973688789837e-02,4.085975164270801152e-02,6.123231478274715478e-02,1.277023357437933271e+00,2.726643597820660458e-02,1.099292165861676107e-02,7.288302410367347717e-03,6.805900833627351321e-03
1.768810000000000002e+02,1.264543275754745455e+00,1.976845285095246707e-01,1.438980779540264265e-01,1.486967706433794945e-01,4.149746946278931148e+00,2.853371198258081165e-01,5.571663682558707087e-02,4.081816539328407545e-02,6.090303396136831360e-02,1.272610924440037650e+00,2.714005015807363641e-02,1.102225723507621602e-02,7.310975050626083993e-03,6.792991982319224187e-03
1.768104999999999905e+02,1.264489863287054927e+00,1.974686580994531315e-01,1.430379724269958963e-01,1.481291830282622790e-01,4.146224834222406841e+00,2.766178977025717245e-01,5.565159834469739220e-02,4.076232100120048829e-02,6.046085685837399026e-02,1.266685657271434451e+00,2.697033205675219980e-02,1.106165072346464162e-02,7.341421167544937010e-03,6.775657239134029453e-03
1.768206999999999880e+02,1.264497591048337810e+00,1.974998904141017642e-01,1.431624132266513527e-01,1.482113020874706866e-01,4.146734416392286349e+00,2.778794021799768643e-01,5.566100816746440139e-02,4.077040061537427762e-02,6.052483141795628185e-02,1.267542929968168863e+00,2.699488701609231711e-02,1.105595124003823371e-02,7.337016197437540299e-03,6.778165244531036970e-03
1.767428999999999917e+02,1.264438647927964343e+00,1.972616674651149760e-01,1.422132471273185317e-01,1.475849429888023145e-01,4.142847603371047072e+00,2.682573386170332697e-01,5.558923520557480791e-02,4.070877375432320477e-02,6.003686860075108100e-02,1.261004124497002721e+00,2.680759526740006393e-02,1.109942377048671325e-02,7.370614891001894819e-03,6.759035556306809689e-03
1.767738999999999976e+02,1.264462134261275184e+00,1.973565892057138615e-01,1.425914495576443564e-01,1.478345205216908820e-01,4.144396333495190987e+00,2.720913228130648065e-01,5.561783368653337722e-02,4.073332944445924586e-02,6.023130108575580621e-02,1.263609561124331648e+00,2.688222308500237689e-02,1.108210181105351300e-02,7.357227236753874355e-03,6.766657925650655658e-03
1.768874000000000137e+02,1.264548124546138741e+00,1.977041252559709195e-01,1.439761584557714968e-01,1.487482963275887915e-01,4.150066684111012094e+00,2.861286520469228378e-01,5.572254102810757226e-02,4.082323495511862299e-02,6.094317486149858354e-02,1.273148821034068234e+00,2.715545719138512393e-02,1.101868108861257800e-02,7.308211147813575836e-03,6.794565632764405783e-03
1.768942000000000121e+02,1.264553276386993996e+00,1.977249467990700449e-01,1.440591189888751344e-01,1.488030423670609892e-01,4.150406405557598433e+00,2.869696550318607819e-01,5.572881424328555988e-02,4.082862136456781588e-02,6.098582456788648187e-02,1.273720336165224509e+00,2.717182716427851696e-02,1.101488143299497735e-02,7.305274501075306737e-03,6.796237636362410794e-03
1.768326000000000136e+02,1.264506606769834507e+00,1.975363281145252614e-01,1.433075941595833847e-01,1.483071076565474211e-01,4.147328928923814217e+00,2.793511574036173783e-01,5.567198629402593524e-02,4.077982683191040680e-02,6.059946840413554803e-02,1.268543081447694121e+00,2.702353446865585207e-02,1.104930184270740134e-02,7.331877065645545088e-03,6.781091250827549211e-03
1.768189000000000135e+02,1.264496227325758504e+00,1.974943788291638747e-01,1.431404530855360235e-01,1.481968104887869675e-01,4.146644490127014748e+00,2.776567837427919017e-01,5.565934761050554680e-02,4.076897480110834582e-02,6.051354178979484466e-02,1.267391646551100592e+00,2.699055378797354798e-02,1.105695703123110718e-02,7.337793545103540871e-03,6.777722655343335068e-03
1.768508999999999958e+02,1.264520471282724490e+00,1.975923625613948964e-01,1.435308555942591546e-01,1.484544389098330086e-01,4.148243179287421256e+00,2.816144448483690610e-01,5.568886862310791497e-02,4.079432261028100026e-02,6.071424629044464005e-02,1.270081129521244634e+00,2.706758895453070801e-02,1.103907629891297260e-02,7.323974031041083355e-03,6.785590907569236108e-03
1.768443000000000040e+02,1.264515470966600219e+00,1.975721534166221538e-01,1.434503350768348007e-01,1.484013030479922612e-01,4.147913449648088502e+00,2.807981772453445046e-01,5.568277991425869822e-02,4.078909462463915780e-02,6.067285098718566694e-02,1.269526423658652092e+00,2.705170045142829549e-02,1.104276419995359193e-02,7.326824305816465044e-03,6.783968080547646273e-03
1.769281000000000006e+02,1.264578959828904781e+00,1.978287483154023141e-01,1.444727016465532365e-01,1.490759674756065856e-01,4.152100016886905109e+00,2.911623022655831505e-01,5.576008806601122358e-02,4.085547419991010509e-02,6.119844589826239911e-02,1.276569507186721353e+00,2.725343629385001964e-02,1.099593903219545088e-02,7.290634453365391066e-03,6.804573066064224796e-03
