Temp,(E) 2-Butenal (Crotonaldehyde Concentration Relative to CO
176.8481,1055.8202333624856
176.8945,1055.8202333624856
176.8788,1055.8202333624856
176.7941,1055.8202333624856
176.7974,1055.8202333624856
176.8505,1055.8202333624856
176.9009,1055.8202333624856
176.9665,1055.8202333624856
176.9055,1055.8202333624856
176.8099,1055.8202333624856
176.8533,1055.8202333624856
176.9335,1055.8202333624856
176.881,1055.8202333624856
176.8105,1055.8202333624856
176.8207,1055.8202333624856
176.7429,1055.8202333624856
176.7739,1055.8202333624856
176.8874,1055.8202333624856
176.8942,1055.8202333624856
176.8326,1055.8202333624856
176.8189,1055.8202333624856
176.8509,1055.8202333624856
176.8443,1055.8202333624856
176.9281,1055.8202333624856
176.9268,1055.8202333624856
176.8664,1055.8202333624856
176.914,1055.8202333624856
176.883,1055.8202333624856
176.9234,1055.8202333624856
176.8343,1055.8202333624856
176.8869,1055.8202333624856
176.8666,1055.8202333624856
176.8004,1055.8202333624856
176.889,1055.8202333624856
177.0114,1055.8202333624856
176.8458,1055.8202333624856
176.9231,1055.8202333624856
176.9848,1055.8202333624856
177.0193,1055.8202333624856
177.032,1055.8202333624856
176.9611,1055.8202333624856
176.8494,1055.8202333624856
176.9185,1055.8202333624856
176.8734,1055.8202333624856
176.9646,1055.8202333624856
176.9394,1055.8202333624856
176.8496,1055.8202333624856
176.9133,1055.8202333624856
176.7969,1055.8202333624856
176.792,1055.8202333624856
176.7845,1055.8202333624856
176.8007,1055.8202333624856
176.9141,1055.8202333624856
176.8142,1055.8202333624856
176.7997,1055.8202333624856
176.7839,1055.8202333624856
176.8388,1055.8202333624856
176.9101,1055.8202333624856
177.0272,1055.8202333624856
177.0201,1055.8202333624856
176.969,1055.8202333624856
177.0026,1055.8202333624856
176.9059,1055.8202333624856
176.8848,1055.8202333624856
176.8855,1055.8202333624856
176.9602,1055.8202333624856
177.023,1055.8202333624856
176.9497,1055.8202333624856
176.8147,1055.8202333624856
176.8542,1055.8202333624856
176.9009,1055.8202333624856
176.9337,1055.8202333624856
176.8691,1055.8202333624856
176.9353,1055.8202333624856
176.9734,1055.8202333624856
176.9555,1055.8202333624856
176.8202,1055.8202333624856
176.9251,1055.8202333624856
176.8746,1055.8202333624856
177.0054,1055.8202333624856
177.0023,1055.8202333624856
177.0163,1055.8202333624856
177.1247,1055.820233362487
177.248,1055.820233362487
177.2921,1055.820233362487
177.5623,1055.820233362487
177.7207,1055.820233362486
177.9972,1055.820233362486
178.29,1055.820233362486
178.6543,1055.8202333624865
179.0592,1055.8202333624865
179.3064,1055.8202333624865
179.7101,1055.820233362486
180.1774,1055.8202333624865
180.5681,1055.8202333624865
180.8962,1055.8202333624865
181.384,1055.8202333624865
181.8506,1055.8202333624863
182.297,1055.8202333624863
182.8438,1055.820233362486
183.2631,1055.8202333624872
183.6243,1055.8202333624856
184.0933,1055.820233362486
184.5898,1055.8202333624865
185.0357,1055.8202333624863
185.4777,1055.8202333624863
185.9069,1055.8202333624863
186.4914,1055.8202333624856
187.0203,1055.8202333624863
187.6229,1055.8202333624856
188.1595,1055.8202333624863
188.6697,1055.8202333624863
189.3571,1055.8202333624854
189.9038,1055.8202333624865
190.5653,1055.8202333624856
191.2235,1055.8202333624854
191.9041,1055.8202333624865
192.46,1055.8202333624865
193.0445,1055.8202333624856
193.7611,1055.8202333624865
194.4817,1055.8202333624865
195.1538,1055.8202333624863
195.7753,1055.8202333624863
196.417,1055.8202333624863
197.0638,1055.8202333624863
197.6513,1055.8202333624863
198.3369,1055.8202333624856
199.1706,1055.8202333624865
199.7659,1055.820233362486
