Temp,m2.0,m26.0,m27.0,m28.0,m29.0,m44.0,m45.0
176848.09999999998,0.0,-115683.60355793317,-134145.93321767534,-915497.1319075525,-10705.424253422958,-1706818.0135798731,-20306.680656438086
176894.5,0.0,-115683.60355793317,-134145.93321767534,-915497.1319075525,-10705.424253422958,-1706818.0135798731,-20306.680656438086
176878.80000000002,0.0,-115683.60355793317,-134145.93321767534,-915497.1319075525,-10705.424253422958,-1706818.0135798731,-20306.680656438086
176794.09999999998,0.0,-115683.60355793317,-134145.93321767534,-915497.1319075525,-10705.424253422958,-1706818.0135798731,-20306.680656438086
176797.40000000002,0.0,-115683.60355793317,-134145.93321767534,-915497.1319075525,-10705.424253422958,-1706818.0135798731,-20306.680656438086
176850.5,0.0,-115683.60355793317,-134145.93321767534,-915497.1319075525,-10705.424253422958,-1706818.0135798731,-20306.680656438086
176900.9,0.0,-115683.60355793317,-134145.93321767534,-915497.1319075525,-10705.424253422958,-1706818.0135798731,-20306.680656438086
176966.5,0.0,-115683.60355793317,-134145.93321767534,-915497.1319075525,-10705.424253422958,-1706818.0135798731,-20306.680656438086
176905.5,0.0,-115683.60355793317,-134145.93321767534,-915497.1319075525,-10705.424253422958,-1706818.0135798731,-20306.680656438086
176809.9,0.0,-115683.60355793317,-134145.93321767534,-915497.1319075525,-10705.424253422958,-1706818.0135798731,-20306.680656438086
176853.3,0.0,-115683.60355793317,-134145.93321767534,-915497.1319075525,-10705.424253422958,-1706818.0135798731,-20306.680656438086
176933.5,0.0,-115683.60355793317,-134145.93321767534,-915497.1319075525,-10705.424253422958,-1706818.0135798731,-20306.680656438086
176881.0,0.0,-115683.60355793317,-134145.93321767534,-915497.1319075525,-10705.424253422958,-1706818.0135798731,-20306.680656438086
176810.5,0.0,-115683.60355793317,-134145.93321767534,-915497.1319075525,-10705.424253422958,-1706818.0135798731,-20306.680656438086
176820.69999999998,0.0,-115683.60355793317,-134145.93321767534,-915497.1319075525,-10705.424253422958,-1706818.0135798731,-20306.680656438086
176742.9,0.0,-115683.60355793317,-134145.93321767534,-915497.1319075525,-10705.424253422958,-1706818.0135798731,-20306.680656438086
176773.9,0.0,-115683.60355793317,-134145.93321767534,-915497.1319075525,-10705.424253422958,-1706818.0135798731,-20306.680656438086
176887.40000000002,0.0,-115683.60355793317,-134145.93321767534,-915497.1319075525,-10705.424253422958,-1706818.0135798731,-20306.680656438086
176894.2,0.0,-115683.60355793317,-134145.93321767534,-915497.1319075525,-10705.424253422958,-1706818.0135798731,-20306.680656438086
176832.6,0.0,-115683.60355793317,-134145.93321767534,-915497.1319075525,-10705.424253422958,-1706818.0135798731,-20306.680656438086
176818.90000000002,0.0,-115683.60355793317,-134145.93321767534,-915497.1319075525,-10705.424253422958,-1706818.0135798731,-20306.680656438086
176850.9,0.0,-115683.60355793317,-134145.93321767534,-915497.1319075525,-10705.424253422958,-1706818.0135798731,-20306.680656438086
176844.30000000002,0.0,-115683.60355793317,-134145.93321767534,-915497.1319075525,-10705.424253422958,-1706818.0135798731,-20306.680656438086
176928.1,0.0,-115683.60355793317,-134145.93321767534,-915497.1319075525,-10705.424253422958,-1706818.0135798731,-20306.680656438086
176926.8,0.0,-115683.60355793317,-134145.93321767534,-915497.1319075525,-10705.424253422958,-1706818.0135798731,-20306.680656438086
176866.4,0.0,-115683.60355793317,-134145.93321767534,-915497.1319075525,-10705.424253422958,-1706818.0135798731,-20306.680656438086
176914.0,0.0,-115683.60355793317,-134145.93321767534,-915497.1319075525,-10705.424253422958,-1706818.0135798731,-20306.680656438086
176883.0,0.0,-115683.60355793317,-134145.93321767534,-915497.1319075525,-10705.424253422958,-1706818.0135798731,-20306.680656438086
