Data Point,Temp,27.0, 28.0, 44.0
50,176.7845,1.0, 1.0, 1.0
51,176.8007,0.0, 0.0, 1.0
51,176.8007,1.0, 0.0, 1.0
51,176.8007,1.0, 1.0, 1.0
52,176.9141,0.0, 0.0, 1.0
52,176.9141,1.0, 0.0, 1.0
52,176.9141,1.0, 1.0, 1.0
53,176.8142,0.0, 0.0, 1.0
53,176.8142,1.0, 0.0, 1.0
53,176.8142,1.0, 1.0, 1.0
54,176.7997,0.0, 0.0, 1.0
54,176.7997,1.0, 0.0, 1.0
54,176.7997,1.0, 1.0, 1.0
55,176.7839,0.0, 0.0, 1.0
55,176.7839,1.0, 0.0, 1.0
55,176.7839,1.0, 1.0, 1.0
56,176.8388,0.0, 0.0, 1.0
56,176.8388,1.0, 0.0, 1.0
56,176.8388,1.0, 1.0, 1.0
57,176.9101,0.0, 0.0, 1.0
57,176.9101,1.0, 0.0, 1.0
57,176.9101,1.0, 1.0, 1.0
58,177.0272,0.0, 0.0, 1.0
58,177.0272,1.0, 0.0, 1.0
58,177.0272,1.0, 1.0, 1.0
59,177.0201,0.0, 0.0, 1.0
59,177.0201,1.0, 0.0, 1.0
59,177.0201,1.0, 1.0, 1.0
60,176.969,0.0, 0.0, 1.0
60,176.969,1.0, 0.0, 1.0
60,176.969,1.0, 1.0, 1.0
61,177.0026,0.0, 0.0, 1.0
61,177.0026,1.0, 0.0, 1.0
61,177.0026,1.0, 1.0, 1.0
62,176.9059,0.0, 0.0, 1.0
62,176.9059,1.0, 0.0, 1.0
62,176.9059,1.0, 1.0, 1.0
63,176.8848,0.0, 0.0, 1.0
63,176.8848,1.0, 0.0, 1.0
63,176.8848,1.0, 1.0, 1.0
64,176.8855,0.0, 0.0, 1.0
64,176.8855,1.0, 0.0, 1.0
64,176.8855,1.0, 1.0, 1.0
65,176.9602,0.0, 0.0, 1.0
65,176.9602,1.0, 0.0, 1.0
65,176.9602,1.0, 1.0, 1.0
66,177.023,0.0, 0.0, 1.0
66,177.023,1.0, 0.0, 1.0
66,177.023,1.0, 1.0, 1.0
67,176.9497,0.0, 0.0, 1.0
67,176.9497,1.0, 0.0, 1.0
67,176.9497,1.0, 1.0, 1.0
68,176.8147,0.0, 0.0, 1.0
68,176.8147,1.0, 0.0, 1.0
68,176.8147,1.0, 1.0, 1.0
69,176.8542,0.0, 0.0, 1.0
69,176.8542,1.0, 0.0, 1.0
69,176.8542,1.0, 1.0, 1.0
70,176.9009,0.0, 0.0, 1.0
70,176.9009,1.0, 0.0, 1.0
70,176.9009,1.0, 1.0, 1.0
71,176.9337,0.0, 0.0, 1.0
71,176.9337,1.0, 0.0, 1.0
71,176.9337,1.0, 1.0, 1.0
72,176.8691,0.0, 0.0, 1.0
72,176.8691,1.0, 0.0, 1.0
72,176.8691,1.0, 1.0, 1.0
73,176.9353,0.0, 0.0, 1.0
73,176.9353,1.0, 0.0, 1.0
73,176.9353,1.0, 1.0, 1.0
74,176.9734,0.0, 0.0, 1.0
74,176.9734,1.0, 0.0, 1.0
74,176.9734,1.0, 1.0, 1.0
75,176.9555,0.0, 0.0, 1.0
75,176.9555,1.0, 0.0, 1.0
75,176.9555,1.0, 1.0, 1.0
76,176.8202,0.0, 0.0, 1.0
76,176.8202,1.0, 0.0, 1.0
76,176.8202,1.0, 1.0, 1.0
77,176.9251,0.0, 0.0, 1.0
77,176.9251,1.0, 0.0, 1.0
77,176.9251,1.0, 1.0, 1.0
78,176.8746,0.0, 0.0, 1.0
78,176.8746,1.0, 0.0, 1.0
78,176.8746,1.0, 1.0, 1.0
79,177.0054,0.0, 0.0, 1.0
79,177.0054,1.0, 0.0, 1.0
79,177.0054,1.0, 1.0, 1.0
80,177.0023,0.0, 0.0, 1.0
80,177.0023,1.0, 0.0, 1.0
80,177.0023,1.0, 1.0, 1.0
81,177.0163,0.0, 0.0, 1.0
81,177.0163,1.0, 0.0, 1.0
81,177.0163,1.0, 1.0, 1.0
82,177.1247,0.0, 0.0, 1.0
82,177.1247,1.0, 0.0, 1.0
82,177.1247,1.0, 1.0, 1.0
83,177.248,0.0, 0.0, 1.0
83,177.248,1.0, 0.0, 1.0
83,177.248,1.0, 1.0, 1.0
84,177.2921,0.0, 0.0, 1.0
84,177.2921,1.0, 0.0, 1.0
84,177.2921,1.0, 1.0, 1.0
85,177.5623,0.0, 0.0, 1.0
85,177.5623,1.0, 0.0, 1.0
85,177.5623,1.0, 1.0, 1.0
86,177.7207,0.0, 0.0, 1.0
86,177.7207,1.0, 0.0, 1.0
86,177.7207,1.0, 1.0, 1.0
87,177.9972,0.0, 0.0, 1.0
87,177.9972,1.0, 0.0, 1.0
87,177.9972,1.0, 1.0, 1.0
88,178.29,0.0, 0.0, 1.0
88,178.29,1.0, 0.0, 1.0
88,178.29,1.0, 1.0, 1.0
89,178.6543,0.0, 0.0, 1.0
89,178.6543,1.0, 0.0, 1.0
89,178.6543,1.0, 1.0, 1.0
90,179.0592,0.0, 0.0, 1.0
90,179.0592,1.0, 0.0, 1.0
90,179.0592,1.0, 1.0, 1.0
91,179.3064,0.0, 0.0, 1.0
91,179.3064,1.0, 0.0, 1.0
91,179.3064,1.0, 1.0, 1.0
92,179.7101,0.0, 0.0, 1.0
92,179.7101,1.0, 0.0, 1.0
92,179.7101,1.0, 1.0, 1.0
93,180.1774,0.0, 0.0, 1.0
93,180.1774,1.0, 0.0, 1.0
93,180.1774,1.0, 1.0, 1.0
94,180.5681,0.0, 0.0, 1.0
94,180.5681,1.0, 0.0, 1.0
94,180.5681,1.0, 1.0, 1.0
95,180.8962,0.0, 0.0, 1.0
95,180.8962,1.0, 0.0, 1.0
95,180.8962,1.0, 1.0, 1.0
96,181.384,0.0, 0.0, 1.0
96,181.384,1.0, 0.0, 1.0
96,181.384,1.0, 1.0, 1.0
97,181.8506,0.0, 0.0, 1.0
97,181.8506,1.0, 0.0, 1.0
97,181.8506,1.0, 1.0, 1.0
98,182.297,0.0, 0.0, 1.0
98,182.297,1.0, 0.0, 1.0
98,182.297,1.0, 1.0, 1.0
99,182.8438,0.0, 0.0, 1.0
99,182.8438,1.0, 0.0, 1.0
99,182.8438,1.0, 1.0, 1.0
100,183.2631,0.0, 0.0, 1.0
100,183.2631,1.0, 0.0, 1.0
100,183.2631,1.0, 1.0, 1.0
101,183.6243,0.0, 0.0, 1.0
101,183.6243,1.0, 0.0, 1.0
101,183.6243,1.0, 1.0, 1.0
102,184.0933,0.0, 0.0, 1.0
102,184.0933,1.0, 0.0, 1.0
102,184.0933,1.0, 1.0, 1.0
103,184.5898,0.0, 0.0, 1.0
