Temp,(E) 2-Butenal (Crotonaldehyde Concentration Relative to CO
176.8481,0.18974905238224965
176.8945,0.19000174993493732
176.8788,0.18991624666818743
176.7941,0.18945496471317347
176.7974,0.18947293673739493
176.8505,0.18976212294531974
176.9009,0.1900366047697909
176.9665,0.19039386682703885
176.9055,0.1900616566823417
176.8099,0.18954101258671804
176.8533,0.18977737193556807
176.9335,0.1902141465848258
176.881,0.18992822801766837
176.8105,0.18954428022748546
176.8207,0.18959983012053314
176.7429,0.18917612603434567
176.7739,0.18934495414066727
176.8874,0.18996308285252192
176.8942,0.19000011611455372
176.8326,0.18966463832908906
176.8189,0.1895900271982308
176.8509,0.189764301372498
176.8443,0.1897283573240555
176.9281,0.1901847378179181
176.9268,0.19017765792958846
176.8664,0.1898487154256588
176.914,0.1901079482598814
176.883,0.18993912015356007
176.9234,0.1901591412985726
176.8343,0.18967389664459697
176.8869,0.18996035981854886
176.8666,0.18984980463924808
176.8004,0.1894892749412324
176.889,0.18997179656123514
177.0114,0.19063839527780796
176.8458,0.18973652642597427
176.9231,0.19015750747818883
176.9848,0.19049352987044813
177.0193,0.19068141921458
177.032,0.1907505842774925
176.9611,0.19036445806013128
176.8494,0.1897561322705793
176.9185,0.19013245556563776
176.8734,0.18988683790127986
176.9646,0.19038351929794184
176.9394,0.19024627838570626
176.8496,0.1897572214841686
176.9133,0.19010413601231937
176.7969,0.18947021370342185
176.792,0.18944352797048722
176.7845,0.18940268246089337
176.8007,0.1894909087616162
176.9141,0.19010849286667608
176.8142,0.18956443067888512
176.7997,0.18948546269367034
176.7839,0.1893994148201258
176.8388,0.18969840395035314
176.9101,0.19008670859489274
177.0272,0.1907244431513523
177.0201,0.19068577606893689
176.969,0.19040748199690358
177.0026,0.19059046987988432
176.9059,0.19006383510952013
176.8848,0.18994892307586272
176.8855,0.18995273532342477
176.9602,0.19035955659897996
177.023,0.19070156966597976
176.9497,0.1903023728855486
176.8147,0.18956715371285804
176.8542,0.18978227339671938
176.9009,0.1900366047697909
176.9337,0.1902152357984148
176.8691,0.18986341980911264
176.9353,0.19022394950712831
176.9734,0.1904314446958653
176.9555,0.19033396007963457
176.8202,0.1895971070865604
176.9251,0.19016839961408044
176.8746,0.18989337318281482
177.0054,0.19060571887013267
177.0023,0.19058883605950053
177.0163,0.1906650810107426
177.1247,0.19129892661326733
177.248,0.19227671193174972
177.2921,0.19262643076828737
177.5623,0.19476915252865992
177.7207,0.1943911004435886
177.9972,0.1958150224631196
178.29,0.19870750831174197
178.6543,0.19713818813580858
179.0592,0.20028793831447936
179.3064,0.20142833337490393
179.7101,0.19986904242632056
180.1774,0.20549126607141507
180.5681,0.20730703157139022
180.8962,0.20328630019458213
181.384,0.208127183872666
181.8506,0.20447896801662
182.297,0.20568170772926303
182.8438,0.20970477653220682
183.2631,0.20816723449508556
183.6243,0.21228871245053796
184.0933,0.21733587186811335
184.5898,0.21519084282280318
185.0357,0.2187598644005551
185.4777,0.21642786076217843
185.9069,0.2180841150579254
186.4914,0.22073618544936469
187.0203,0.21961186320847725
187.6229,0.2193553330674593
188.1595,0.2207257766356913
188.6697,0.22232682944984547
189.3571,0.2193641659660879
189.9038,0.22088904352819994
190.5653,0.2205585700901676
191.2235,0.2252731491089012
191.9041,0.2219276935370022
192.46,0.2288857572637567
193.0445,0.22418965548378184
193.7611,0.22103689308242266
194.4817,0.2236151227408528
195.1538,0.22246115377731912
195.7753,0.22237094581955422
196.417,0.22079672488252078
197.0638,0.22035362124096183
197.6513,0.2163165009963235
198.3369,0.2173444847618047
199.1706,0.21085857464599359
199.7659,0.21411754888485393
