Mass,(E) 2-Butenal (Crotonaldehyde
1.0,0.0
2.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
22.0,0.0
24.0,0.0
25.0,6.203806169123812
26.0,21.98502757380998
27.0,58.92724675382846
28.0,0.0
29.0,45.50292126155967
30.0,2.2993596345943454
31.0,2.2663906569606986
33.0,1.1019581460042327
36.0,4.237727434232961
37.0,18.835397261973345
38.0,29.98505241177037
39.0,99.14379264427937
40.0,27.29191995667869
41.0,100.0
42.0,29.698963056212985
43.0,3.921632500650078
44.0,0.0
45.0,0.0
46.0,0.0
47.0,0.0
48.0,0.9412805479404549
49.0,3.74074730727011
50.0,4.648351854045197
51.0,3.698924717987872
52.0,1.8407385065986723
53.0,2.7497537757659387
54.0,0.9133771951326638
55.0,4.553735319766107
66.0,0.9199150975383351
67.0,0.9242121445737729
68.0,4.645432283618251
69.0,60.74497215998409
70.0,77.12648372941881
71.0,7.57738385044269
72.0,0.9543563527517975
