Temp,m2.0,m18.0,m26.0,m27.0,m28.0,m29.0,m41.0,m44.0,m45.0
176.8481,0.0,0.1971567385872975,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.8945,0.0,0.19729868713679163,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.8788,0.0,0.19725065713189824,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.7941,0.0,0.1969915398443516,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.7974,0.0,0.19700163532308734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.8505,0.0,0.1971640807536507,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.9009,0.0,0.19731826624706672,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.9665,0.0,0.19751895212738602,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.9055,0.0,0.19733233873257683,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.8099,0.0,0.19703987577284318,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.8533,0.0,0.19717264661439593,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.9335,0.0,0.19741799734003027,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.881,0.0,0.19725738745105517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.8105,0.0,0.19704171131443152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.8207,0.0,0.19707291552143238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.7429,0.0,0.19683490696215122,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.7739,0.0,0.19692974327754606,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.8874,0.0,0.19727696656133023,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.8942,0.0,0.1972977693659975,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.8326,0.0,0.1971093204296001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.8189,0.0,0.19706740889666763,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.8509,0.0,0.19716530444804287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.8443,0.0,0.19714511349057162,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.9281,0.0,0.1974014774657357,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.9268,0.0,0.19739750045896107,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.8664,0.0,0.19721272260574021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.914,0.0,0.1973583422384109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.883,0.0,0.19726350592301617,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.9234,0.0,0.19738709905662738,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.8343,0.0,0.1971145211307669,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.8869,0.0,0.19727543694334002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.8666,0.0,0.19721333445293637,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.8004,0.0,0.19701081303102863,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.889,0.0,0.19728186133889905,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177.0114,0.0,0.19765631182290952,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.8458,0.0,0.19714970234454238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.9231,0.0,0.19738618128583327,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.9848,0.0,0.19757493614582874,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177.0193,0.0,0.19768047978715525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177.032,0.0,0.19771933208410733,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.9611,0.0,0.19750243225309141,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.8494,0.0,0.1971607155940721,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.9185,0.0,0.19737210880032305,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.8734,0.0,0.19723413725760353,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.9646,0.0,0.19751313957902308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
