Temp,H2 Concentration Relative to CO
176.8481,273.5612565279758
176.8945,273.5612565279758
176.8788,273.5612565279758
176.7941,273.5612565279758
176.7974,273.5612565279758
176.8505,273.5612565279758
176.9009,273.5612565279758
176.9665,273.5612565279758
176.9055,273.5612565279758
176.8099,273.5612565279758
176.8533,273.5612565279758
176.9335,273.5612565279758
176.881,273.5612565279758
176.8105,273.5612565279758
176.8207,273.5612565279758
176.7429,273.5612565279758
176.7739,273.5612565279758
176.8874,273.5612565279758
176.8942,273.5612565279758
176.8326,273.5612565279758
176.8189,273.5612565279758
176.8509,273.5612565279758
176.8443,273.5612565279758
176.9281,273.5612565279758
176.9268,273.5612565279758
176.8664,273.5612565279758
176.914,273.5612565279758
176.883,273.5612565279758
176.9234,273.5612565279758
176.8343,273.5612565279758
176.8869,273.5612565279758
176.8666,273.5612565279758
176.8004,273.5612565279758
176.889,273.5612565279758
177.0114,273.5612565279758
176.8458,273.5612565279758
176.9231,273.5612565279758
176.9848,273.5612565279758
177.0193,273.5612565279758
177.032,273.5612565279758
176.9611,273.5612565279758
176.8494,273.5612565279758
176.9185,273.5612565279758
176.8734,273.5612565279758
176.9646,273.5612565279758
176.9394,273.5612565279758
176.8496,273.5612565279758
176.9133,273.5612565279758
176.7969,273.5612565279758
176.792,273.5612565279758
176.7845,273.5612565279758
176.8007,273.5612565279758
176.9141,273.5612565279758
176.8142,273.5612565279758
176.7997,273.5612565279758
176.7839,273.5612565279758
176.8388,273.5612565279758
176.9101,273.5612565279758
177.0272,273.5612565279758
177.0201,273.5612565279758
176.969,273.5612565279758
177.0026,273.5612565279758
176.9059,273.5612565279758
176.8848,273.5612565279758
176.8855,273.5612565279758
176.9602,273.5612565279758
177.023,273.5612565279758
176.9497,273.5612565279758
176.8147,273.5612565279758
176.8542,273.5612565279758
176.9009,273.5612565279758
176.9337,273.5612565279758
176.8691,273.5612565279758
176.9353,273.5612565279758
176.9734,273.5612565279758
176.9555,273.5612565279758
176.8202,273.5612565279758
176.9251,273.5612565279758
176.8746,273.5612565279758
177.0054,273.5612565279758
177.0023,273.5612565279758
177.0163,273.5612565279758
177.1247,273.5612565279758
177.248,273.5612565279758
177.2921,273.5612565279758
177.5623,273.5612565279758
177.7207,273.5612565279757
177.9972,273.5612565279757
178.29,273.5612565279757
178.6543,273.56125652797573
179.0592,273.5612565279756
179.3064,273.5612565279756
179.7101,273.5612565279757
180.1774,273.5612565279757
180.5681,273.5612565279757
180.8962,273.56125652797573
181.384,273.56125652797573
181.8506,273.5612565279757
182.297,273.5612565279757
182.8438,273.56125652797556
183.2631,273.5612565279758
183.6243,273.56125652797556
184.0933,273.56125652797556
184.5898,273.5612565279756
185.0357,273.5612565279757
185.4777,273.5612565279757
185.9069,273.56125652797573
186.4914,273.56125652797556
187.0203,273.5612565279757
187.6229,273.56125652797556
188.1595,273.5612565279757
188.6697,273.5612565279757
189.3571,273.5612565279755
189.9038,273.56125652797573
190.5653,273.56125652797556
191.2235,273.5612565279755
191.9041,273.5612565279757
192.46,273.56125652797573
193.0445,273.56125652797556
193.7611,273.56125652797573
194.4817,273.5612565279757
195.1538,273.56125652797573
195.7753,273.5612565279757
196.417,273.56125652797573
197.0638,273.5612565279757
197.6513,273.5612565279757
198.3369,273.56125652797556
199.1706,273.56125652797573
199.7659,273.5612565279756
