Temp,Acetaldehyde Concentration Relative to CO
176.8481,5157.8123094663815
176.8945,5157.8123094663815
176.8788,5157.8123094663815
176.7941,5157.8123094663815
176.7974,5157.8123094663815
176.8505,5157.8123094663815
176.9009,5157.8123094663815
176.9665,5157.8123094663815
176.9055,5157.8123094663815
176.8099,5157.8123094663815
176.8533,5157.8123094663815
176.9335,5157.8123094663815
176.881,5157.8123094663815
176.8105,5157.8123094663815
176.8207,5157.8123094663815
176.7429,5157.8123094663815
176.7739,5157.8123094663815
176.8874,5157.8123094663815
176.8942,5157.8123094663815
176.8326,5157.8123094663815
176.8189,5157.8123094663815
176.8509,5157.8123094663815
176.8443,5157.8123094663815
176.9281,5157.8123094663815
176.9268,5157.8123094663815
176.8664,5157.8123094663815
176.914,5157.8123094663815
176.883,5157.8123094663815
176.9234,5157.8123094663815
176.8343,5157.8123094663815
176.8869,5157.8123094663815
176.8666,5157.8123094663815
176.8004,5157.8123094663815
176.889,5157.8123094663815
177.0114,5157.8123094663815
176.8458,5157.8123094663815
176.9231,5157.8123094663815
176.9848,5157.8123094663815
177.0193,5157.8123094663815
177.032,5157.8123094663815
176.9611,5157.8123094663815
176.8494,5157.8123094663815
176.9185,5157.8123094663815
176.8734,5157.8123094663815
176.9646,5157.8123094663815
176.9394,5157.8123094663815
176.8496,5157.8123094663815
176.9133,5157.8123094663815
176.7969,5157.8123094663815
176.792,5157.8123094663815
176.7845,5157.8123094663815
176.8007,5157.8123094663815
176.9141,5157.8123094663815
176.8142,5157.8123094663815
176.7997,5157.8123094663815
176.7839,5157.8123094663815
176.8388,5157.8123094663815
176.9101,5157.8123094663815
177.0272,5157.8123094663815
177.0201,5157.8123094663815
176.969,5157.8123094663815
177.0026,5157.8123094663815
176.9059,5157.8123094663815
176.8848,5157.8123094663815
176.8855,5157.8123094663815
176.9602,5157.8123094663815
177.023,5157.8123094663815
176.9497,5157.8123094663815
176.8147,5157.8123094663815
176.8542,5157.8123094663815
176.9009,5157.8123094663815
176.9337,5157.8123094663815
176.8691,5157.8123094663815
176.9353,5157.8123094663815
176.9734,5157.8123094663815
176.9555,5157.8123094663815
176.8202,5157.8123094663815
176.9251,5157.8123094663815
176.8746,5157.8123094663815
177.0054,5157.8123094663815
177.0023,5157.8123094663815
177.0163,5157.8123094663815
177.1247,5157.812309466374
177.248,5157.812309466374
177.2921,5157.812309466374
177.5623,5157.812309466374
177.7207,5157.812309466372
177.9972,5157.812309466372
178.29,5157.812309466371
178.6543,5157.812309466372
179.0592,5157.812309466371
179.3064,5157.812309466371
179.7101,5157.812309466371
180.1774,5157.812309466371
180.5681,5157.812309466371
180.8962,5157.812309466375
181.384,5157.812309466372
181.8506,5157.8123094663715
182.297,5157.8123094663715
182.8438,5157.812309466368
183.2631,5157.8123094663715
183.6243,5157.812309466369
184.0933,5157.812309466368
184.5898,5157.812309466371
185.0357,5157.8123094663715
185.4777,5157.8123094663715
185.9069,5157.812309466374
186.4914,5157.812309466369
187.0203,5157.8123094663715
187.6229,5157.812309466369
188.1595,5157.8123094663715
188.6697,5157.8123094663715
189.3571,5157.812309466369
189.9038,5157.812309466372
190.5653,5157.812309466369
191.2235,5157.8123094663715
191.9041,5157.812309466371
192.46,5157.812309466372
193.0445,5157.812309466369
193.7611,5157.812309466375
194.4817,5157.812309466371
195.1538,5157.812309466374
195.7753,5157.8123094663715
196.417,5157.812309466374
197.0638,5157.8123094663715
197.6513,5157.8123094663715
198.3369,5157.812309466369
199.1706,5157.812309466372
199.7659,5157.812309466368
