Temp,(E) 2-Butenal (Crotonaldehyde Concentration(bar)
176.8481,0.0023681554389677643
176.8945,0.0023713092206404424
176.8788,0.00237024210054861
176.7941,0.00236448508960732
176.7974,0.0023647093887349045
176.8505,0.002368318565606007
176.9009,0.002371744225009089
176.9665,0.002376203019787701
176.9055,0.002372056884399051
176.8099,0.0023655590066424138
176.8533,0.0023685088800172883
176.9335,0.002373960028511876
176.881,0.0023703916333003327
176.8105,0.002365599788301973
176.8207,0.002366293076514501
176.7429,0.002361005054658158
176.7739,0.0023631121070687845
176.8874,0.0023708266376689787
176.8942,0.0023712888298106642
176.8326,0.0023671019127624537
176.8189,0.002366170731535822
176.8509,0.002368345753379046
176.8443,0.0023678971551238824
176.9281,0.0023735929935758304
176.9268,0.0023735046333134492
176.8664,0.0023693992795843595
176.914,0.002372634624576157
176.883,0.002370527572165534
176.9234,0.0023732735372426067
176.8343,0.0023672174607978747
176.8869,0.0023707926529526768
176.8666,0.002369412873470881
176.8004,0.002364913297032706
176.889,0.002370935388761138
177.0114,0.0023792548473114804
176.8458,0.0023679991092727835
176.9231,0.0023732531464128264
176.9848,0.0023774468604042974
177.0193,0.002379791805829024
177.032,0.0023806550176230564
176.9611,0.002375835984851657
176.8494,0.002368243799230146
176.9185,0.0023729404870228613
176.8734,0.002369875065612566
176.9646,0.002376073877865761
176.9394,0.0023743610481642198
176.8496,0.0023682573931166676
176.9133,0.0023725870459733373
176.7969,0.002364675404018602
176.792,0.002364342353798859
176.7845,0.0023638325830543537
176.8007,0.0023649336878624866
176.9141,0.0023726414215194183
176.8142,0.002365851275202596
176.7997,0.0023648657184298857
176.7839,0.002363791801394792
176.8388,0.0023675233232445764
176.9101,0.002372369543789016
177.0272,0.0023803287643465714
177.0201,0.0023798461813751073
176.969,0.0023763729433692042
177.0026,0.002378656716304592
176.9059,0.0023720840721720925
176.8848,0.0023706499171442168
176.8855,0.002370697495747037
176.9602,0.0023757748123623156
177.023,0.0023800432927296483
176.9497,0.0023750611333200086
176.8147,0.0023658852599188966
176.8542,0.0023685700525066297
176.9009,0.002371744225009089
176.9337,0.002373973622398394
176.8691,0.0023695827970523823
176.9353,0.002374082373490557
176.9734,0.0023766720088726472
176.9555,0.0023754553560290936
176.8202,0.002366259091798203
176.9251,0.002373389085278027
176.8746,0.002369956628931686
177.0054,0.0023788470307158733
177.0023,0.002378636325474811
177.0163,0.0023795878975312237
177.1247,0.0023874985821551497
177.248,0.0023997017926114645
177.2921,0.002404066444526499
177.5623,0.002430808597529712
177.7207,0.002426090333642569
177.9972,0.002443861535305412
178.29,0.0024799610889450967
178.6543,0.0024603752514220094
179.0592,0.0024996855822160863
179.3064,0.002513918237035758
179.7101,0.0024944575688824223
180.1774,0.0025646255056234295
180.5681,0.0025872870941303053
180.8962,0.002537106517420837
181.384,0.0025975229720367494
181.8506,0.002551991560345589
182.297,0.0025670023050971373
182.8438,0.002617212053959757
183.2631,0.002598022822223753
183.6243,0.0026494607625678667
184.0933,0.0027124516332784634
184.5898,0.0026856806842981127
185.0357,0.002730223714974861
185.4777,0.002701119237083772
185.9069,0.0027217900524029734
186.4914,0.00275488911057039
187.0203,0.0027408570519304016
187.6229,0.002737655437792761
188.1595,0.002754759203788752
188.6697,0.0027747410792306163
189.3571,0.00273776567642988
189.9038,0.002756796849693401
190.5653,0.002752672389202636
191.2235,0.002811512503582579
191.9041,0.002769759679476466
192.46,0.002856599514786966
193.0445,0.0027979900048443803
193.7611,0.0027586420801258365
194.4817,0.002790819571986083
195.1538,0.002776417508612996
195.7753,0.002775291671813618
196.417,0.0027556446705381513
197.0638,0.0027501145333089527
197.6513,0.0026997294159917524
198.3369,0.0027125591261527855
199.1706,0.002631611985049429
199.7659,0.0026722854823466144
