# molecules ,2buten1ol(crotyl alcohol), 2butenalE(crotonaldehyde), 2buteneE, 13butadiene, acetaldehyde, acetone, diethylether, ethanol
ScaledConcentrations_Means,2.3729559220421547e-08,6.96819023320797e-08,6.440290995764733e-07,1.6582495165771262e-06,1.0357887270742944e-05,4.6865403434392124e-07,2.0708423033559368e-08,0.0
ScaledConcentrations_StdDevs,2.5481036347960132e-09,1.2822331178787676e-09,2.0524480912887707e-08,5.236603002907676e-08,4.1887823672563466e-07,1.699912677256461e-08,6.834492262929629e-10,0.0
ScaledConcentrations_StdErrs,1.471148319472542e-09,7.402976357711596e-10,1.1849814580033055e-08,3.0233541533679495e-08,2.4183946273122095e-07,9.814450418128752e-09,3.945895947776836e-10,0.0
