Acetaldehyde,(E) 2-Butenal (Crotonaldehyde,CO,CO2,Ethylene (Ethene),Ethanol,Crotyl Alcohol,H2,H2O
0.0,0.0,0.0,0.0,0.0007337184856651318,0.0,0.0,1.7903104006677162,0.0
0.0,0.0,0.0,0.0,0.0,0.003159179042522544,0.0022596712066678807,0.0,0.8424408932142096
0.044592437326424685,0.04262294335557655,0.0,0.0,0.2571039888500969,0.049625025423501994,0.03264253075566542,0.0,0.0
0.0322565855052829,0.11424378214019436,0.0,0.0,0.2981360664565664,0.11116598713298873,0.12093253210726507,0.0,0.0
0.2543435934609064,0.0,0.93649321850064,0.0840762229207563,0.47079971358747685,0.016854674836646412,0.04117564954474074,0.0,0.0
0.41671007553917794,0.08821769401622861,0.011071659108526042,0.0008442820895399548,0.010668192620040973,0.1436577333176426,0.20834855097391813,0.0,0.0
0.0,0.004393910367814157,0.0,0.0,0.0,0.4673813150123776,0.08077049772547397,0.0,0.0
0.0,0.1922126430702411,0.0,0.0,0.0,0.0,0.1315307451783267,0.0,0.0
0.022754645588998017,0.19387259448494765,0.0,0.0,0.0,0.005651633636351373,0.07669350299659607,0.0,0.0
0.41666840036410663,0.0,0.0,0.7028782839653716,0.0,0.0028449785992485503,0.025747151109504065,0.0,0.0
0.0,0.0,0.0,0.008362417515675038,0.0,0.20453639190982348,0.007292697193738167,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0010277212927975875,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.22303256548329814,0.0,0.0
0.0,0.14952711504123528,0.0,0.0,0.0,0.0,0.003191306627419857,0.0,0.0
