Name,RS,Electron Number,Type,sourceOfIonizationData
Argon,1.1,18,Inert,
Helium,0.15,2,Inert,
Krypton,1.7,36,Inert,
Neon,0.31,10,Inert,
Xenon,2.3,54,Inert,
Carbon Monoxide,1.05,14,Main Group,
Carbon Dioxide,1.4,22,Main Group,
Nitrous Oxide,1.7,22,Main Group,
Nitric Oxide,1.1,15,Main Group,
Cyanogen,2.7,26,Main Group,
