Temp,m2,m18,m26,m27,m28,m29,m31,m39,m41,m44,m45,m56,m57,m70
1.768480999999999881e+02,1.323762249242889766e+00,1.875986911019529302e-01,1.411360823408207565e-01,1.327833137637259853e-01,3.979791718771579667e+00,2.551398064457561787e-01,5.143363159220570857e-02,3.476329222914209538e-02,5.890054500663843839e-02,1.211734876360845981e+00,2.164421025065443871e-02,1.151223865088013554e-02,9.581375833839445022e-03,8.883205953646111652e-03
1.768944999999999936e+02,1.336014971037251087e+00,1.890259451806599600e-01,1.403286745505343269e-01,1.317924943915609326e-01,3.968376421391120346e+00,2.560877633703024792e-01,5.176283140450688158e-02,3.544779050664192965e-02,5.958599460378355417e-02,1.210413319966400003e+00,1.861027905159495788e-02,1.403189104787649910e-02,1.218724218863087572e-02,5.952338393939271555e-03
1.768788000000000125e+02,1.331869114740456439e+00,1.885430165376504874e-01,1.406018707209542029e-01,1.321277500842974462e-01,3.972238925030623591e+00,2.557670107040230789e-01,5.165144267491372787e-02,3.521618225326417218e-02,5.935406445992219560e-02,1.210860484522278568e+00,1.963684628920603359e-02,1.317933624975609064e-02,1.130551585737826770e-02,6.944032805304090061e-03
1.767940999999999860e+02,1.309502616120148843e+00,1.859376626482847072e-01,1.420757379588257763e-01,1.339364225158150568e-01,3.993076763136777174e+00,2.540365807146036659e-01,5.105051112099334709e-02,3.396667785446538801e-02,5.810282349271966851e-02,1.213272894578520500e+00,2.517507845645639009e-02,8.579884568169049430e-03,6.548686541625770019e-03,1.229412940675267407e-02
1.767974000000000103e+02,1.310374038144317410e+00,1.860391699426768852e-01,1.420183145599476227e-01,1.338659547587424115e-01,3.992264899314449167e+00,2.541040000648413510e-01,5.107392403867883068e-02,3.401535984402936919e-02,5.815157314079266726e-02,1.213178904576328598e+00,2.495930317721217762e-02,8.759083984335447326e-03,6.734017553929660949e-03,1.208568408461729859e-02
1.768505000000000109e+02,1.324396010715020111e+00,1.876725145887832014e-01,1.410943198689089684e-01,1.327320644858551724e-01,3.979201272355346930e+00,2.551888387004748182e-01,5.145065916870428246e-02,3.479869731246143516e-02,5.893599929614623534e-02,1.211666519995615587e+00,2.148728277483868965e-02,1.164256549900244408e-02,9.716162024606234127e-03,8.731609355729474942e-03
1.769009000000000071e+02,1.337705001629579726e+00,1.892228078122064616e-01,1.402173079587702986e-01,1.316558296505720982e-01,3.966801897614502082e+00,2.562185160495502600e-01,5.180823827516922719e-02,3.554220406215957695e-02,5.968053937580375390e-02,1.210231036325786214e+00,1.819180578275769733e-02,1.437942930953184373e-02,1.254667203067150183e-02,5.548080799496091231e-03
