Temp,Ethanol Concentration(bar)
176.8481,8.665720721716729e-06
176.8945,8.673847270206326e-06
176.8788,8.671097554445844e-06
176.7941,8.656263100629702e-06
176.7974,8.656841066362799e-06
176.8505,8.666141060431712e-06
176.9009,8.674968173446272e-06
176.9665,8.686457431655701e-06
176.9055,8.675773822649981e-06
176.8099,8.659030330503316e-06
176.8533,8.666631455599186e-06
176.9335,8.68067777432474e-06
176.881,8.67148286493457e-06
176.8105,8.65913541518206e-06
176.8207,8.66092185472072e-06
176.7429,8.647295874710148e-06
176.7739,8.652725249778626e-06
176.8874,8.672603768174521e-06
176.8942,8.673794727866957e-06
176.8326,8.663006034182494e-06
176.8189,8.66060660068449e-06
176.8509,8.666211116884206e-06
176.8443,8.665055185418017e-06
176.9281,8.679732012216033e-06
176.9268,8.679504328745418e-06
176.8664,8.668925804418448e-06
176.914,8.677262522265531e-06
176.883,8.671833147197056e-06
176.9234,8.678908848899199e-06
176.8343,8.663303774105603e-06
176.8869,8.672516197608896e-06
176.8666,8.668960832644695e-06
176.8004,8.65736648975652e-06
176.889,8.672883993984503e-06
177.0114,8.694321268448436e-06
176.8458,8.665317897114878e-06
176.9231,8.67885630655983e-06
176.9848,8.689662514357418e-06
177.0193,8.695704883385238e-06
177.032,8.69792917575201e-06
176.9611,8.685511669546995e-06
176.8494,8.665948405187346e-06
176.9185,8.678050657356116e-06
176.8734,8.670151792337138e-06
176.9646,8.686124663506343e-06
176.9394,8.681711106999066e-06
176.8496,8.665983433413596e-06
176.9133,8.677139923473665e-06
176.7969,8.656753495797176e-06
176.792,8.655895304254093e-06
176.7845,8.65458174576979e-06
176.8007,8.657419032095894e-06
176.9141,8.677280036378657e-06
176.8142,8.659783437367653e-06
176.7997,8.657243890964652e-06
176.7839,8.654476661091037e-06
176.8388,8.664091909196186e-06
176.9101,8.676579471853691e-06
177.0272,8.697088498322047e-06
177.0201,8.695844996290235e-06
176.969,8.686895284483802e-06
177.0026,8.692780026493511e-06
176.9059,8.67584387910248e-06
176.8848,8.672148401233289e-06
176.8855,8.672271000025156e-06
176.9602,8.685354042528878e-06
177.023,8.69635290557083e-06
176.9497,8.683515060650847e-06
176.8147,8.65987100793327e-06
176.8542,8.666789082617305e-06
176.9009,8.674968173446272e-06
176.9337,8.680712802550984e-06
176.8691,8.669398685472798e-06
176.9353,8.680993028360973e-06
176.9734,8.687665905461267e-06
176.9555,8.684530879212047e-06
176.8202,8.6608342841551e-06
176.9251,8.679206588822309e-06
176.8746,8.670361961694623e-06
177.0054,8.693270421660987e-06
177.0023,8.692727484154137e-06
177.0163,8.695179459991518e-06
177.1247,8.714002307107982e-06
177.248,8.73445316669972e-06
177.2921,8.741767707721587e-06
177.5623,8.786583784458719e-06
177.7207,8.79834744549237e-06
177.9972,8.837383088685411e-06
178.29,8.889238271335732e-06
178.6543,8.927662133644032e-06
179.0592,9.050342713968093e-06
179.3064,9.093665220290308e-06
179.7101,9.12269315650649e-06
180.1774,9.319967099908926e-06
180.5681,9.398467973792629e-06
180.8962,9.149375113458385e-06
181.384,9.357076678345953e-06
181.8506,9.221694168717568e-06
182.297,9.268387261029942e-06
182.8438,9.551657931162578e-06
183.2631,9.412243483377382e-06
183.6243,9.69207304528112e-06
184.0933,9.806674123325513e-06
184.5898,9.611501992596119e-06
185.0357,9.771393505554645e-06
185.4777,9.42800213617949e-06
185.9069,9.481923680334928e-06
186.4914,9.638745988711039e-06
187.0203,9.425130933318751e-06
187.6229,9.476196388240609e-06
188.1595,9.459741948727202e-06
188.6697,9.385074400566483e-06
189.3571,9.562150621145782e-06
189.9038,9.518138387568467e-06
190.5653,9.615416290832093e-06
191.2235,9.583390262452188e-06
191.9041,9.652578566079257e-06
192.46,9.705712140419401e-06
193.0445,9.594543908035386e-06
193.7611,9.491607574323709e-06
194.4817,9.636942272445057e-06
195.1538,9.584667345509616e-06
195.7753,9.593334175566238e-06
196.417,9.621216572304847e-06
197.0638,9.833193534431137e-06
197.6513,9.757903028841441e-06
198.3369,1.012648226538593e-05
199.1706,9.691450920032253e-06
199.7659,1.0274533780280732e-05
