# molecules ,Acetylene, Ethylene, Ethane
ScaledConcentrations_Means,1.228478183870649e-11,3.1494986526826736e-09,6.005186251303734e-10
ScaledConcentrations_StdDevs,2.7759976214590786e-12,2.967255296497398e-12,4.189822541376108e-12
ScaledConcentrations_StdErrs,5.918446814965462e-13,6.326209548232244e-13,8.932731672242704e-13
