Molecule	Acetylene	Ethylene	Ethane
Ionization Efficiency	1.4285714285714284	2.0285714285714285	2.1142857142857143
Method to Obtain Ionization Efficiency	MadixAndKo	MadixAndKo	MadixAndKo
