Source:,Measured,Measured,Measured
Molecules,Acetylene,Ethylene,Ethane
Electron Numbers,24,38,40
Molecular Mass,26.04,28.05,30.07
2,4.59E-10,1,4.82E-11
4,5.85E-13,0.008566316,4.91E-13
14,2.37E-11,0.434415949,1.69E-10
15,6.96E-12,0.845826859,2.38E-11
16,7.05E-13,0.054938977,1.39E-12
18,2.29E-11,1.310525212,3.84E-11
25,5.59E-09,21.26874457,3.76E-10
26,1.37E-10,98.01927218,2.30E-09
27,1.66E-10,2.182353671,2.20E-09
28,6.41E-12,1.243582005,3.68E-09
29,1.01E-12,0.091016734,7.88E-11
30,4.62E-13,0.01202512,9.45E-13
32,1.09E-12,0.01988048,1.34E-12
40,1.00E-15,0,0.00E+00
44,1.08E-12,0.245054602,2.55E-12
