Time,m2,m4,m14,m16,m18,m25,m26,m27,m28,m29,m30,m32,m40,m44,m15
6.133270000000000437e+03,6.250000000000000389e-11,5.079999999999999559e-13,2.500000000000000091e-11,3.419999999999999968e-12,7.919999999999999534e-11,1.209999999999999957e-09,5.580000000000000170e-09,1.250000000000000078e-10,7.199999999999999694e-11,5.070000000000000005e-12,7.010000000000000422e-13,1.199999999999999935e-12,1.560000000000000072e-08,1.599999999999999968e-11,4.819999999999999899e-11
6.136420000000000073e+03,6.259999999999999579e-11,4.880000000000000411e-13,2.469999999999999936e-11,3.369999999999999979e-12,7.880000000000000189e-11,1.209999999999999957e-09,5.580000000000000170e-09,1.240000000000000112e-10,7.249999999999999521e-11,5.249999999999999642e-12,6.649999999999999937e-13,1.120000000000000074e-12,1.560000000000000072e-08,1.599999999999999968e-11,4.789999999999999744e-11
6.139520000000000437e+03,6.250000000000000389e-11,4.849999999999999529e-13,2.489999999999999932e-11,3.500000000000000031e-12,7.919999999999999534e-11,1.209999999999999957e-09,5.589999999999999928e-09,1.250000000000000078e-10,7.210000000000000176e-11,5.259999999999999801e-12,7.090000000000000082e-13,1.170000000000000063e-12,1.560000000000000072e-08,1.610000000000000127e-11,4.819999999999999899e-11
6.142590000000000146e+03,6.280000000000000544e-11,4.860000000000000496e-13,2.480000000000000096e-11,3.389999999999999893e-12,7.930000000000000016e-11,1.209999999999999957e-09,5.589999999999999928e-09,1.240000000000000112e-10,7.210000000000000176e-11,5.269999999999999961e-12,7.010000000000000422e-13,1.099999999999999958e-12,1.560000000000000072e-08,1.590000000000000132e-11,4.810000000000000063e-11
6.145689999999999600e+03,6.220000000000000234e-11,5.029999999999999772e-13,2.500000000000000091e-11,3.369999999999999979e-12,7.940000000000000499e-11,1.209999999999999957e-09,5.589999999999999928e-09,1.250000000000000078e-10,7.270000000000000486e-11,5.099999999999999675e-12,6.870000000000000009e-13,1.149999999999999947e-12,1.560000000000000072e-08,1.599999999999999968e-11,4.840000000000000218e-11
6.148779999999999745e+03,6.300000000000000217e-11,4.970000000000000027e-13,2.480000000000000096e-11,3.430000000000000127e-12,7.960000000000000171e-11,1.209999999999999957e-09,5.589999999999999928e-09,1.240000000000000112e-10,7.210000000000000176e-11,5.299999999999999631e-12,6.889999999999999924e-13,1.180000000000000021e-12,1.560000000000000072e-08,1.579999999999999972e-11,4.819999999999999899e-11
6.151890000000000327e+03,6.309999999999999407e-11,4.769999999999999870e-13,2.460000000000000100e-11,3.419999999999999968e-12,7.860000000000000516e-11,1.219999999999999923e-09,5.589999999999999928e-09,1.240000000000000112e-10,7.249999999999999521e-11,5.219999999999999972e-12,6.989999999999999498e-13,1.220000000000000052e-12,1.560000000000000072e-08,1.599999999999999968e-11,4.819999999999999899e-11
6.154979999999999563e+03,6.239999999999999907e-11,4.979999999999999985e-13,2.500000000000000091e-11,3.350000000000000064e-12,7.889999999999999379e-11,1.209999999999999957e-09,5.580000000000000170e-09,1.240000000000000112e-10,7.229999999999999849e-11,5.080000000000000164e-12,7.080000000000000124e-13,1.149999999999999947e-12,1.560000000000000072e-08,1.610000000000000127e-11,4.800000000000000227e-11
6.158090000000000146e+03,6.259999999999999579e-11,4.839999999999999571e-13,2.449999999999999941e-11,3.489999999999999871e-12,7.919999999999999534e-11,1.209999999999999957e-09,5.589999999999999928e-09,1.240000000000000112e-10,7.309999999999999831e-11,5.309999999999999790e-12,6.770000000000000435e-13,1.139999999999999989e-12,1.560000000000000072e-08,1.610000000000000127e-11,4.829999999999999735e-11
6.161189999999999600e+03,6.209999999999999752e-11,4.730000000000000040e-13,2.460000000000000100e-11,3.380000000000000138e-12,7.899999999999999861e-11,1.209999999999999957e-09,5.589999999999999928e-09,1.240000000000000112e-10,7.260000000000000003e-11,5.230000000000000131e-12,6.860000000000000052e-13,1.199999999999999935e-12,1.560000000000000072e-08,1.579999999999999972e-11,4.800000000000000227e-11
