Mass,Acetylene,Ethylene,Ethane
2.0,8.21109123434705,1.0202075344567203,1.309782608695652
4.0,0.0,0.0,0.0
14.0,0.0,0.0,4.592391304347826
15.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0
18.0,0.0,1.3370076953778907,1.0434782608695652
25.0,100.0,21.698533458749456,10.217391304347826
26.0,2.4508050089445437,100.0,62.49999999999999
27.0,2.9695885509838997,2.2264536580034826,59.782608695652165
28.0,0.0,1.2687117312157947,100.0
29.0,0.0,0.0,2.141304347826087
30.0,0.0,0.0,0.0
32.0,0.0,0.0,0.0
40.0,0.0,0.0,0.0
44.0,0.0,0.0,0.0
