Mass,Acetylene,Ethylene,Ethane
2.0,8.21109123434705,1.0202075344567203,1.309782608695652
4.0,0.010465116279069769,0.008739420125737153,0.013342391304347827
14.0,0.42397137745974955,0.44319442425796635,4.592391304347826
15.0,0.12450805008944545,0.862918934397662,0.6467391304347826
16.0,0.012611806797853311,0.05604915827074446,0.03777173913043478
18.0,0.40966010733452596,1.3370076953778907,1.0434782608695652
25.0,100.0,21.698533458749456,10.217391304347826
26.0,2.4508050089445437,100.0,62.49999999999999
27.0,2.9695885509838997,2.2264536580034826,59.782608695652165
28.0,0.11466905187835422,1.2687117312157947,100.0
29.0,0.018067978533094813,0.09285595778844315,2.141304347826087
30.0,0.008264758497316636,0.012268118026746197,0.025679347826086954
32.0,0.019499105545617176,0.020282215484616138,0.03641304347826087
40.0,1.788908765652952e-05,0.0,0.0
44.0,0.01932021466905188,0.25000655131369287,0.06929347826086955
