Ethylene,,,,,,,,,,,,,,,
Time,m2,m4,m14,m16,m18,m25,m26,m27,m28,m29,m30,m32,m40,m44,m15
6220.34,6.29E-11,4.88E-13,2.48E-11,3.31E-12,7.89E-11,1.22E-09,5.59E-09,1.25E-10,7.21E-11,5.26E-12,7.38E-13,1.20E-12,1.56E-08,1.59E-11,4.81E-11
6223.52,6.24E-11,4.97E-13,2.50E-11,3.37E-12,7.86E-11,1.22E-09,5.60E-09,1.24E-10,7.26E-11,5.36E-12,6.73E-13,1.21E-12,1.57E-08,1.55E-11,4.81E-11
6226.62,6.25E-11,4.93E-13,2.48E-11,3.32E-12,7.87E-11,1.21E-09,5.60E-09,1.25E-10,7.17E-11,5.12E-12,7.27E-13,1.16E-12,1.56E-08,1.59E-11,4.84E-11
6229.72,6.25E-11,4.68E-13,2.52E-11,3.37E-12,7.84E-11,1.22E-09,5.59E-09,1.24E-10,7.28E-11,5.35E-12,7.16E-13,1.19E-12,1.56E-08,1.59E-11,4.84E-11
6232.81,6.28E-11,4.92E-13,2.48E-11,3.43E-12,7.89E-11,1.22E-09,5.59E-09,1.25E-10,7.21E-11,5.23E-12,6.95E-13,1.18E-12,1.56E-08,1.59E-11,4.83E-11
6235.91,6.24E-11,4.96E-13,2.50E-11,3.33E-12,7.85E-11,1.21E-09,5.60E-09,1.25E-10,7.19E-11,5.24E-12,6.70E-13,1.20E-12,1.56E-08,1.57E-11,4.78E-11
6239,6.28E-11,4.91E-13,2.48E-11,3.35E-12,7.91E-11,1.22E-09,5.60E-09,1.24E-10,7.19E-11,5.22E-12,6.89E-13,1.14E-12,1.56E-08,1.59E-11,4.84E-11
6242.11,6.23E-11,4.88E-13,2.48E-11,3.36E-12,7.84E-11,1.21E-09,5.59E-09,1.25E-10,7.23E-11,5.18E-12,7.19E-13,1.26E-12,1.56E-08,1.57E-11,4.83E-11
6245.27,6.25E-11,5.01E-13,2.52E-11,3.37E-12,7.86E-11,1.21E-09,5.60E-09,1.25E-10,7.22E-11,5.17E-12,7.12E-13,1.18E-12,1.56E-08,1.59E-11,4.83E-11
6248.36,6.21E-11,5.03E-13,2.51E-11,3.42E-12,7.87E-11,1.22E-09,5.59E-09,1.25E-10,7.20E-11,5.17E-12,6.70E-13,1.19E-12,1.56E-08,1.61E-11,4.84E-11
6251.45,6.22E-11,4.88E-13,2.48E-11,3.37E-12,7.86E-11,1.21E-09,5.59E-09,1.25E-10,7.24E-11,5.24E-12,7.15E-13,1.18E-12,1.56E-08,1.58E-11,4.83E-11
6254.56,6.20E-11,4.95E-13,2.49E-11,3.32E-12,7.84E-11,1.21E-09,5.59E-09,1.25E-10,7.26E-11,5.28E-12,7.51E-13,1.20E-12,1.56E-08,1.58E-11,4.85E-11
6257.66,6.27E-11,4.96E-13,2.50E-11,3.27E-12,7.80E-11,1.22E-09,5.60E-09,1.25E-10,7.26E-11,5.09E-12,6.68E-13,1.17E-12,1.56E-08,1.58E-11,4.86E-11
6260.77,6.20E-11,5.00E-13,2.52E-11,3.25E-12,7.88E-11,1.22E-09,5.60E-09,1.24E-10,7.17E-11,5.14E-12,7.21E-13,1.15E-12,1.56E-08,1.56E-11,4.82E-11
6263.86,6.21E-11,5.03E-13,2.48E-11,3.35E-12,7.84E-11,1.21E-09,5.59E-09,1.24E-10,7.20E-11,5.22E-12,7.32E-13,1.16E-12,1.56E-08,1.58E-11,4.78E-11
6266.95,6.25E-11,4.91E-13,2.49E-11,3.36E-12,7.84E-11,1.21E-09,5.60E-09,1.25E-10,7.22E-11,5.30E-12,6.93E-13,1.17E-12,1.56E-08,1.57E-11,4.78E-11
6270.06,6.24E-11,5.14E-13,2.49E-11,3.38E-12,7.81E-11,1.21E-09,5.59E-09,1.24E-10,7.17E-11,5.25E-12,6.74E-13,1.17E-12,1.56E-08,1.60E-11,4.82E-11
6273.16,6.18E-11,5.02E-13,2.49E-11,3.34E-12,7.84E-11,1.22E-09,5.59E-09,1.24E-10,7.25E-11,5.17E-12,6.52E-13,1.14E-12,1.56E-08,1.60E-11,4.78E-11
