Ethylene,,,,,,,,,,,,,,,
Time,m12,m13,m14,m15,m16,m17,m21,m22,m24,m25,m26,m27,m28,m29,m30
3295.95,1.43E-11,4.86E-12,2.08E-11,7.07E-12,2.83E-11,9.51E-11,3.78E-12,2.27E-12,2.10E-12,2.48E-12,5.23E-12,6.89E-12,5.64E-10,8.34E-12,3.41E-12
3301.44,1.33E-11,4.75E-12,2.11E-11,6.98E-12,2.76E-11,9.24E-11,3.87E-12,2.28E-12,2.17E-12,2.45E-12,5.13E-12,6.88E-12,5.57E-10,8.04E-12,3.40E-12
3306.92,1.37E-11,4.69E-12,2.07E-11,7.08E-12,2.77E-11,9.20E-11,3.72E-12,2.34E-12,2.10E-12,2.52E-12,4.99E-12,6.46E-12,5.51E-10,7.97E-12,3.35E-12
3312.36,1.35E-11,4.60E-12,2.04E-11,6.83E-12,2.76E-11,9.08E-11,3.63E-12,2.31E-12,2.05E-12,2.43E-12,4.61E-12,6.39E-12,5.40E-10,7.73E-12,3.37E-12
3317.78,1.30E-11,4.69E-12,2.05E-11,6.91E-12,2.68E-11,9.01E-11,3.71E-12,2.35E-12,2.05E-12,2.37E-12,4.73E-12,6.32E-12,5.34E-10,7.58E-12,3.31E-12
3323.25,1.30E-11,4.55E-12,2.04E-11,6.62E-12,2.65E-11,8.91E-11,3.80E-12,2.27E-12,2.13E-12,2.42E-12,4.60E-12,6.06E-12,5.27E-10,7.78E-12,3.31E-12
3328.69,1.25E-11,4.65E-12,2.07E-11,6.55E-12,2.68E-11,8.74E-11,3.85E-12,2.40E-12,2.09E-12,2.39E-12,4.69E-12,6.24E-12,5.19E-10,7.54E-12,3.18E-12
3334.12,1.24E-11,4.59E-12,2.03E-11,6.50E-12,2.66E-11,8.71E-11,3.82E-12,2.35E-12,2.08E-12,2.40E-12,4.42E-12,6.15E-12,5.14E-10,7.47E-12,3.31E-12
3339.59,1.19E-11,4.60E-12,2.00E-11,6.36E-12,2.68E-11,8.68E-11,3.87E-12,2.28E-12,2.07E-12,2.38E-12,4.57E-12,5.95E-12,5.06E-10,7.50E-12,3.16E-12
3345.05,1.19E-11,4.74E-12,2.02E-11,6.37E-12,2.54E-11,8.53E-11,3.76E-12,2.35E-12,2.08E-12,2.33E-12,4.47E-12,5.87E-12,5.03E-10,7.36E-12,3.19E-12
3350.52,1.15E-11,4.56E-12,2.00E-11,6.45E-12,2.61E-11,8.43E-11,3.78E-12,2.37E-12,2.11E-12,2.37E-12,4.39E-12,5.90E-12,4.97E-10,7.23E-12,3.21E-12
3355.94,1.12E-11,4.62E-12,2.03E-11,6.37E-12,2.51E-11,8.43E-11,3.80E-12,2.36E-12,2.03E-12,2.33E-12,4.33E-12,5.84E-12,4.90E-10,7.27E-12,3.12E-12
3361.41,1.12E-11,4.57E-12,1.93E-11,6.36E-12,2.57E-11,8.41E-11,3.82E-12,2.28E-12,2.02E-12,2.29E-12,4.21E-12,5.69E-12,4.83E-10,7.19E-12,3.06E-12
3366.83,1.14E-11,4.78E-12,2.01E-11,6.34E-12,2.55E-11,8.20E-11,3.79E-12,2.24E-12,2.05E-12,2.40E-12,4.32E-12,5.70E-12,4.80E-10,6.73E-12,3.13E-12
