Time,m12.0,m13.0,m14.0,m15.0,m16.0,m17.0,m21.0,m22.0,m24.0,m25.0,m26.0,m27.0,m28.0,m29.0,m30.0
3295.95,4.888805549326687e-12,4.581340239775972e-13,1.4078407793675167e-12,1.2710278410003142e-12,4.095859205513968e-12,1.9039087124323103e-11,-2.608222118215505e-14,-2.8503184118453296e-14,5.846230142608386e-14,2.5478093441170784e-13,1.535683409320422e-12,1.6895586965775838e-12,1.420332019917056e-10,2.0281892642038843e-12,4.243972934929859e-13
3301.44,3.8917306618110805e-12,3.4499684380139086e-13,1.7086771652880558e-12,1.1811314420678047e-12,3.4088365362698163e-12,1.6346495166195733e-11,6.349287701976524e-14,-1.8532879063240382e-14,1.2804643572667624e-13,2.2309898728820698e-13,1.4290486710421495e-12,1.6756740982743169e-12,1.3490607132274625e-10,1.7248030038502763e-12,4.1448364571639244e-13
3306.92,4.29465044622173e-12,2.818653779788733e-13,1.3095120277369679e-12,1.2812348544266124e-12,3.5217902289004214e-12,1.5953889714367326e-11,-8.69312508223983e-14,4.1437480081124964e-14,5.763132752398895e-14,2.9142010382066894e-13,1.282426017897353e-12,1.2517965757420945e-12,1.2877917222148982e-10,1.6514229115483133e-12,3.6456984064977436e-13
3312.36,4.0975489183374126e-12,1.887567695711202e-13,1.0103407962993922e-12,1.0313375119506847e-12,3.4346493690300737e-12,1.4761230287734745e-11,-1.7735228284089748e-13,1.1408055582100666e-14,7.219249308182582e-15,1.9975347497698134e-13,8.958517052864598e-13,1.1779473562940483e-12,1.176531993910456e-10,1.4080674914529356e-12,3.8465540642305854e-13
3317.78,3.6004367343056107e-12,2.756595898707475e-13,1.111166517918575e-12,1.111439792057389e-12,2.6474612329092514e-12,1.4068543873700076e-11,-9.777176694756285e-14,5.137873926138156e-14,6.8086860858165e-15,1.380929734452195e-13,1.0093015629425193e-12,1.1041122883880906e-12,1.1152768969600738e-10,1.2547244074608483e-12,3.247406576162938e-13
3323.25,3.6033511906425176e-12,1.3253383840192235e-13,1.0119998568958663e-12,8.215430157075118e-13,2.3603912874146168e-12,1.3075924928170623e-11,-8.195120833810655e-15,-2.865084750510086e-14,8.639433537984933e-14,1.8641715363364398e-13,8.726909949311989e-13,8.402418416269122e-13,1.0440102216245409e-10,1.4513504832105331e-12,3.248266952596513e-13
3328.69,3.1062496627582005e-12,2.29425229994169e-13,1.3128286254582938e-12,7.516456732315846e-13,2.6732504275442722e-12,1.1383265501538044e-11,4.1383847147691187e-14,1.0131972799587497e-13,4.598225716404312e-14,1.5475052478995653e-13,9.56116682320306e-13,1.0163926221788668e-12,9.627504933200975e-11,1.2079950631151563e-12,1.9491226103293593e-13
3334.12,3.0091428068001394e-12,1.6632233594010597e-13,9.136558705490974e-13,7.017481420469719e-13,2.4860859295486864e-12,1.1090592581204424e-11,1.0963589085109322e-14,5.12903575860032e-14,3.5570936444956327e-14,1.6308695960223135e-13,6.795544548428897e-13,9.225504785018649e-13,9.11493080692685e-11,1.1346458110714226e-12,3.24997669516195e-13
3339.59,2.512057263137048e-12,1.7319658447128077e-13,6.144892095263856e-13,5.618513656970963e-13,2.6990159840540533e-12,1.0797973635674966e-11,6.05402351988625e-14,-1.8739229180478663e-14,2.515658573898934e-14,1.4141113979065593e-13,8.229438868315689e-13,7.186800317406859e-13,8.302264053571521e-11,1.1612718868211063e-12,1.7508370715955255e-13
3345.05,2.514966391400214e-12,3.1007654735614644e-13,8.153210250320561e-13,5.719544006385349e-13,1.3119224004341839e-12,9.305341196444471e-12,-4.988234473146931e-14,5.123123814219173e-14,3.4742992529742416e-14,8.973838363504328e-14,7.163454039537242e-13,6.348166607505518e-13,7.98962045698649e-11,1.0179041306224366e-12,2.051695875128857e-13
