Mass	ethyne	ethene	ethane	1butanal
2.0	0.0	0.0	0.0	0.0
12.0	2.1545893719806766	0.0	0.0	0.0
13.0	6.618357487922706	2.4918032786885242	0.0	0.0
14.0	0.0	5.254098360655737	3.815533980582525	4.266709874567056
15.0	0.0	0.0	5.6213592233009715	14.132427485248588
16.0	0.0	0.0	0.0	0.0
17.0	0.0	0.0	0.0	0.0
18.0	0.0	0.0	0.0	3.6649794860744334
19.0	0.0	0.0	0.0	0.0
20.0	0.0	0.0	0.0	0.0
21.0	0.0	0.0	0.0	0.0
22.0	0.0	0.0	0.0	0.0
24.0	6.280193236714977	3.2459016393442623	0.0	0.0
25.0	22.07729468599034	10.0	3.718446601941748	0.0
26.0	100.0	60.81967213114754	22.621359223300974	11.333129610816757
27.0	2.077294685990338	61.967213114754095	32.33009708737865	100.0
28.0	0.0	100.0	100.0	23.7437240037111
29.0	0.0	2.0327868852459017	21.2621359223301	79.93544120960988
30.0	0.0	0.0	20.97087378640777	0.0
31.0	0.0	0.0	0.0	3.5161177870238336
36.0	0.0	0.0	0.0	0.0
37.0	0.0	0.0	0.0	0.0
38.0	0.0	0.0	0.0	0.0
39.0	0.0	0.0	0.0	4.024043426380877
40.0	0.0	0.0	0.0	0.0
41.0	0.0	0.0	0.0	0.0
42.0	0.0	0.0	0.0	0.0
43.0	0.0	0.0	0.0	0.0
44.0	0.0	0.0	0.0	0.0
45.0	0.0	0.0	0.0	0.0
46.0	0.0	0.0	0.0	0.0
48.0	0.0	0.0	0.0	0.0
49.0	0.0	0.0	0.0	0.0
50.0	0.0	0.0	0.0	0.0
51.0	0.0	0.0	0.0	0.0
52.0	0.0	0.0	0.0	0.0
53.0	0.0	0.0	0.0	0.0
54.0	0.0	0.0	0.0	0.0
55.0	0.0	0.0	0.0	0.0
56.0	0.0	0.0	0.0	0.0
57.0	0.0	0.0	0.0	0.0
58.0	0.0	0.0	0.0	0.0
59.0	0.0	0.0	0.0	0.0
60.0	0.0	0.0	0.0	0.0
68.0	0.0	0.0	0.0	0.0
69.0	0.0	0.0	0.0	0.0
70.0	0.0	0.0	0.0	0.0
71.0	0.0	0.0	0.0	0.0
72.0	0.0	0.0	0.0	0.0
73.0	0.0	0.0	0.0	0.0
74.0	0.0	0.0	0.0	0.0
75.0	0.0	0.0	0.0	0.0
