Time	ethyne Concentration Relative to CO	ethene Concentration Relative to CO	ethane Concentration Relative to CO	1butanal Concentration Relative to CO
747.187	2.690787638284799e-07	8.084204994199837e-07	1.8219970746938638e-06	1.604391290630988e-08
751.547	2.690787638284799e-07	8.084204994199837e-07	1.8219970746938638e-06	1.604391290630988e-08
