Mass	ethyne	ethene	ethane
12.0	0.9282511210762331	1.3631284916201118	3.9312977099236637
13.0	0.30218978102189775	0.8026315789473686	1.8727272727272728
14.0	5.948275862068964	0.3806552262090484	0.5241730279898218
15.0	89.6103896103896	3.8244514106583076	0.3557858376511226
16.0	41.39999999999999	17.810218978102192	16.22047244094488
17.0	5.679012345679012	11.348837209302326	45.98214285714285
21.0	-23657.14285714285	-5893.719806763285	768.6567164179104
22.0	898.0477223427332	3652.6946107784433	854.771784232365
24.0	0.3184615384615384	0.6161616161616161	2.696335078534031
25.0	0.09059080962800875	0.2	0.5378590078328981
26.0	0.02	0.03288409703504043	0.08841201716738196
27.0	0.9627906976744186	0.032275132275132276	0.06186186186186185
28.0	1.9808612440191387	0.02	0.02
29.0	142.75862068965515	0.9838709677419355	0.09406392694063927
30.0	599.1316931982633	109.9099099099099	0.09537037037037037
