Time	ethyne Concentration Relative to CO	ethene Concentration Relative to CO	ethane Concentration Relative to CO	1butanal Concentration Relative to CO
747.187	1.0295773086786751e-07	2.500020631991401e-07	1.798241936491399e-07	1.7190279521258078e-07
751.547	1.0295773086786751e-07	2.500020631991401e-07	1.798241936491399e-07	1.7190279521258078e-07
