Source:	NIST	NIST	NIST	NIST
Molecules	ethene	ethane	ethyne	1butanal
Electron Numbers	16	18	14	40
ionizationEfficiencies	1.0857142857142859	1.1714285714285713	1.0	2.1142857142857143
ionizationEfficienciesSources	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo
Molecular Mass	28.05	30.07	26.0373	72.11
2.000000000000000000e+00	1.000100010001000184e-01	2.000200020002000367e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.200000000000000000e+01	5.000500050005001196e-01	4.000400040004000735e-01	7.000700070007001008e-01	1.000100010001000184e-01
1.300000000000000000e+01	9.000900090009000820e-01	1.000100010001000239e+00	3.200320032003200588e+00	3.000300030003000273e-01
1.400000000000000000e+01	2.100210021002100191e+00	3.000300030003000273e+00	1.000100010001000184e-01	1.600160016001600294e+00
1.500000000000000000e+01	3.000300030003000273e-01	4.400440044004400697e+00	0.000000000000000000e+00	5.400540054005400492e+00
1.600000000000000000e+01	0.000000000000000000e+00	1.000100010001000184e-01	0.000000000000000000e+00	2.000200020002000367e-01
1.700000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.000300030003000273e-01
1.800000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.500150015001500137e+00
1.900000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.000200020002000367e-01
2.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000100010001000184e-01
2.400000000000000000e+01	2.300230023002300506e+00	5.000500050005001196e-01	5.000500050005000752e+00	0.000000000000000000e+00
2.500000000000000000e+01	7.810781078107811304e+00	3.500350035003500615e+00	1.912191219121912411e+01	0.000000000000000000e+00
2.600000000000000000e+01	5.295529552955295571e+01	2.322232223222322389e+01	1.000000000000000000e+02	6.310631063106311167e+00
2.700000000000000000e+01	6.236623662366236687e+01	3.323332333233323510e+01	2.200220022002200349e+00	5.895589558955895626e+01
2.800000000000000000e+01	1.000000000000000000e+02	1.000000000000000000e+02	1.000100010001000184e-01	1.491149114911491225e+01
2.900000000000000000e+01	2.300230023002300506e+00	2.152215221522152433e+01	0.000000000000000000e+00	5.385538553855386112e+01
3.000000000000000000e+01	1.000100010001000184e-01	2.622262226222622417e+01	0.000000000000000000e+00	1.200120012001200109e+00
3.100000000000000000e+01	0.000000000000000000e+00	5.000500050005001196e-01	0.000000000000000000e+00	2.800280028002800403e+00
3.600000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.000300030003000273e-01
3.700000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.700270027002700246e+00
3.800000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.600460046004601011e+00
3.900000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.312231223122312329e+01
4.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.000300030003000273e+00
4.100000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.055605560556055877e+01
4.200000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.191119111911191197e+01
4.300000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	7.867786778677867687e+01
4.400000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+02
4.500000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.500350035003500615e+00
4.600000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.000400040004000735e-01
4.800000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000100010001000184e-01
4.900000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	5.000500050005001196e-01
5.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.200120012001200109e+00
5.100000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	8.000800080008001469e-01
5.200000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.000200020002000367e-01
5.300000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.500250025002500376e+00
5.400000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.300230023002300506e+00
5.500000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.000300030003000273e+00
5.600000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.000400040004000735e-01
5.700000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.582258225822582531e+01
5.800000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.100110011001100174e+00
5.900000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000100010001000184e-01
6.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000100010001000239e+00
6.800000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000100010001000184e-01
6.900000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.000600060006000547e-01
7.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.000200020002000367e-01
7.100000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	7.210721072107211249e+00
7.200000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	7.347734773477347403e+01
7.300000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.700470047004700724e+00
7.400000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.000300030003000273e-01
7.500000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000100010001000184e-01
