Temp	Ethylene (Ethene) Concentration Relative to CO
176.8481	0.27049170267145484
176.8945	0.2704645905316773
176.8788	0.27047376425138664
176.7941	0.2705232555927471
176.7974	0.2705213273586681
176.8505	0.2704903003193977
176.9009	0.2704608509261909
176.9665	0.2704225199699541
176.9055	0.2704581630847467
176.8099	0.2705140234417024
176.8533	0.27048866424199675
176.9335	0.2704418023107439
176.881	0.2704724787620013
176.8105	0.27051367285368877
176.8207	0.27050771285744374
176.7429	0.27055317243664
176.7739	0.2705350587225646
176.8874	0.27046873915651365
176.8942	0.2704647658256848
176.8326	0.2705007595284927
176.8189	0.2705087646214868
176.8509	0.2704900665940544
176.8443	0.2704939230622121
176.9281	0.27044495760287324
176.9268	0.27044571721023775
176.8664	0.2704810097370163
176.914	0.27045319642121046
176.883	0.2704713101352858
176.9234	0.2704477038756517
176.8343	0.27049976619578564
176.8869	0.2704690313131923
176.8666	0.27048089287434596
176.8004	0.2705195744185976
176.889	0.2704678042551427
177.0114	0.27039628430021245
176.8458	0.2704930465921765
176.9231	0.2704478791696598
176.9848	0.27041182703551564
177.0193	0.27039166822468946
177.032	0.2703842474450525
176.9611	0.27042567526208255
176.8494	0.2704909430640911
176.9185	0.27045056701110237
176.8734	0.2704769195435161
176.9646	0.2704236301653334
176.9394	0.27043835486193596
176.8496	0.27049082620141895
176.9133	0.2704536054405604
176.7969	0.27052161951534676
176.792	0.27052448265079737
176.7845	0.270528865000977
176.8007	0.27051939912458917
176.9141	0.27045313798987464
176.8142	0.2705115108942663
176.7997	0.27051998343794725
176.7839	0.27052921558899207
176.8388	0.2704971367856777
176.9101	0.2704554752433042
177.0272	0.2703870521491672
177.0201	0.2703912007740035
176.969	0.27042105918656045
177.0026	0.27040142625775593
176.9059	0.270457929359405
176.8848	0.27047025837124267
176.8855	0.27046984935189283
176.9602	0.2704262011441045
177.023	0.27038950626526814
176.9497	0.2704323364343559
176.8147	0.2705112187375879
176.8542	0.27048813835997554
176.9009	0.2704608509261909
176.9337	0.2704416854480726
176.8691	0.2704794320909521
176.9353	0.2704407505467005
176.9734	0.27041848820778813
176.9555	0.27042894741688317
176.8202	0.2705080050141234
176.9251	0.2704467105429447
176.8746	0.27047621836748775
177.0054	0.27039979018035654
177.0023	0.2704016015517635
177.0163	0.27039342116476095
177.1247	0.2703978553000609
177.248	0.2708030962270683
177.2921	0.2709480364126405
177.5623	0.27183608262900105
177.7207	0.2713451573307194
177.9972	0.27177806299464125
178.29	0.27453231698026254
178.6543	0.27196185806001055
179.0592	0.2746728586653851
179.3064	0.2752200974995813
179.7101	0.2698460737535472
180.1774	0.27416588901041056
180.5681	0.27464173188180396
180.8962	0.2668063343686093
181.384	0.27217540487171293
181.8506	0.26575305563334983
182.297	0.2652617755013248
182.8438	0.2731936059701942
183.2631	0.2697533870951253
183.6243	0.2745102255187023
184.0933	0.27572499467354733
184.5898	0.27210035370299496
185.0357	0.27633345489459044
185.4777	0.27163502279129914
185.9069	0.2747856287831578
186.4914	0.2807595081093148
187.0203	0.28169350315930936
187.6229	0.2857722766444871
188.1595	0.2869324608976322
188.6697	0.2893611792401407
189.3571	0.2876051788759335
189.9038	0.2879151266606525
190.5653	0.2890109173478476
191.2235	0.2943208236268566
191.9041	0.2893820333733586
192.46	0.3000365976108144
193.0445	0.2953299847312857
193.7611	0.29410365096950863
194.4817	0.29987254395608787
195.1538	0.29930522343390287
195.7753	0.2998897774209926
196.417	0.2992576208529758
197.0638	0.2994196819060292
197.6513	0.2943410299765599
198.3369	0.29518897286233725
199.1706	0.2797014592120035
199.7659	0.280134073204245
