Information/Notes: ,,,,,,,,
Molecues,3hydroxybutanal,2butenalE(crotonaldehyde),2butenalZ(crotonaldehyde),2pentanone,13butadiene,13butadiene1C13,13butadiene2C13,diethylether
Electron number,36,38,38,48,30,30,30,42
Molecular Weight,88.11,70.09,70.09,86.13,54.09,55,56,74.12
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0
12,0,0,0,0,0.4,0,0,0.1
13,0,0,0,0,0.3,0,0,0.7
14,0,0,1.8,0.2,0.5,0,0,3.19
15,0,0,6.21,1.7,0.3,0,0,0
16,0,0,0,0,0.1,0,0,0
17,0,0,1.8,0,0,0,0,0.4
18,0,0,2.3,0,0,0,0,0.99
19,0,0,0,0,0.1,0,0,0
20,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0
24,0,0,0,0,0.2,0,0,0.1
25,0,5,2.3,0.1,2.5,0,0,3.09
26,2.4,18,9.81,1.2,15.41,0,0,19.39
27,7.6,49,20.52,7.7,49.44,0,0,5.09
28,26.8,0,0,0.4,34.13,0,0,42.69
29,1.6,39,19.42,1.6,0.8,0,0,1.29
30,53.2,2,0,0.1,0,0,0,99.99
31,1.2,2,20.82,0.2,0,0,0,1.09
32,8.4,0,1,0,0,0,0,0.2
33,0,1,0,0,0,0,0,0
35,0.2,0,0,0,0,0,0,0
36,0,4,1,0,0.9,0,0,0
37,0.8,18,10.51,0.6,4.4,0,0,0
38,3.2,29,15.51,1.3,5.81,0,0,0.2
39,4.8,97,87.38,7.8,99.99,0,0,0
40,23.2,27,14.51,1.1,3.5,0,0,6.09
41,4.8,99.99,11.81,13.8,0.2,0,0,1.19
42,32.4,30,17.62,6,0,0,0,8.29
43,65.2,4,3.6,99.99,0,0,0,1.99
44,52,0,5.2,2.9,0,0,0,44.59
45,38,0,1.8,0.7,0,0,0,1.09
46,100,0,1.3,0,0,0,0,0.3
47,2.4,0,0,0,0,0,0,0
48,0.4,1,0,0,1.5,0,0,0
49,0.2,4,1.6,0.1,8.11,0,0,0
50,0.4,5,4.2,0.5,26.82,8.11,0,0
51,1.2,4,0,0.4,25.32,26.82,8.11,0
52,0.4,2,1.6,0.1,11.41,25.32,26.82,0
53,0.4,3,1,0.8,70.86,11.41,25.32,10
54,0.8,1,0,0.1,95.19,70.86,11.41,0
55,0.4,5,0,0.9,4.3,95.19,70.86,0
56,6,0,0,0.2,0.1,4.3,95.19,0.3
57,0.4,0,0,0.6,0,0.1,4.3,0.2
58,0.8,0,0,9.8,0,0,0.1,67.09
59,0.4,0,0,0.3,0,0,0,2.19
60,0.4,0,0,0.1,0,0,0,0.1
61,2.8,0,0,0.1,0,0,0,0
62,0.8,0,0,0.1,0,0,0,0
63,0,0,0,0.1,0,0,0,0
64,0,0,0,0,0,0,0,0
65,0,0,0,0.1,0,0,0,0
66,0,1,0,0,0,0,0,0
67,0.2,1,0,0.2,0,0,0,0
68,0.2,5,2.6,0.1,0,0,0,0
69,0.4,65,45.94,0.2,0,0,0,0
70,6.4,82,99.99,0,0,0,0,0
71,22,8,6.71,9.7,0,0,0,0.1
72,2,1,0,0.4,0,0,0,4.69
73,0.2,0,0,0,0,0,0,43.99
74,6.8,0,0,0,0,0,0,2.09
75,0.4,0,0,0,0,0,0,0
83,0.2,0,0,0,0,0,0,0
84,0,0,0,0.1,0,0,0,0
85,0,0,0,19.7,0,0,0,0
86,0,0,0,1.2,0,0,0,0
87,0,0,0,0.1,0,0,0,0
88,0.8,0,0,0,0,0,0,0
89,0.2,0,0,0,0,0,0,0
