time-s,m42.0,m43.0,m54.0,m56.0,m57.0,m58.0,m59.0,m70.0
5618.562,4.214360279937999e-08,3.13704345519904e-07,3.9399999999999995e-07,1.08e-07,1.1e-08,7.72e-08,5.12e-09,1.14e-08
5638.531,4.349400915864843e-08,3.2865031767415247e-07,3.7799999999999997e-07,1.1e-07,9.94e-09,8.1e-08,5.09e-09,1.09e-08
5658.5,4.050837290479841e-08,3.0176378916791036e-07,3.65e-07,1.02e-07,1.11e-08,7.42e-08,5.47e-09,1.12e-08
