Molecule	2buten1ol(crotyl alcohol)	2butenalE(crotonaldehyde)	2buteneE	13butadiene	acetaldehyde	acetone	diethylether	ethanol
Ionization Efficiency	2.1142857142857143	2.0285714285714285	1.7714285714285714	1.685714285714286	1.4285714285714284	1.7714285714285714	2.2	1.5142857142857142
Method to Obtain Ionization Efficiency	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo
