Source:,Measured,Measured,NIST,NIST,NIST,NIST,NIST,NIST,NIST,NIST,NIST,NIST,NIST,NIST,NIST,NIST,NIST
Molecules,Acetaldehyde,Acetaldehyde,(E) 2-Butenal (Crotonaldehyde,(E) 2-Butenal (Crotonaldehyde,CO,CO,CO2,CO2,Ethylene (Ethene),Ethylene (Ethene),Ethanol ,Ethanol ,Crotyl Alcohol ,Crotyl Alcohol ,H2,H2,H2O
30,0,30,2.475254689,30,0,30,0,30,12.37627345,30,1004.953404,30,460.3973722,30,0,30,0
31,0,31,2.43976367,31,0,31,0,31,0,31,12197.59847,31,3536.43744,31,0,31,0
32,0,32,0,32,0,32,0,32,0,32,0,32,151.5474765,32,0,32,0
33,0,33,1.186255089,33,0,33,0,33,0,33,36.77390776,33,0,33,0,33,0
34,0,34,0,34,0,34,0,34,0,34,0,34,30.42972015,34,0,34,0
36,0,36,4.561902603,36,0,36,0,36,0,36,0,36,123.1713703,36,0,36,0
37,0,37,20.27625635,37,0,37,0,37,0,37,0,37,767.1183653,37,0,37,0
38,0,38,32.27883123,38,0,38,0,38,0,38,0,38,1344.58028,38,0,38,0
39,0,39,106.7280359,39,0,39,0,39,0,39,0,39,5758.912782,39,0,39,0
40,0,40,29.37968112,40,0,40,0,40,0,40,0,40,788.8988448,40,0,40,0
41,546,41,107.6497409,41,0,41,0,41,0,41,147.4948946,41,3357.931213,41,0,41,0
42,0,42,31.97085678,42,0,42,0,42,0,42,505.1395372,42,866.4102188,42,0,42,0
43,0,43,4.221627226,43,0,43,0,43,0,43,1207.385387,43,4339.832788,43,0,43,0
44,9998,44,0,44,0,44,10456.35237,44,0,44,74.24752658,44,1127.307516,44,0,44,0
45,0,45,0,45,0,45,124.4033088,45,0,45,5337.93864,45,319.3018258,45,0,45,0
46,0,46,0,46,0,46,41.1308037,46,0,46,2224.14821,46,0,46,0,46,0
47,0,47,0,47,0,47,0,47,0,47,74.49411797,47,0,47,0,47,0
48,0,48,1.013286071,48,0,48,0,48,0,48,0,48,46.61115925,48,0,48,0
49,0,49,4.026904784,49,0,49,0,49,0,49,0,49,229.5335727,49,0,49,0
50,0,50,5.003938727,50,0,50,0,50,0,50,0,50,670.5277894,50,0,50,0
51,0,51,3.981882875,51,0,51,0,51,0,51,0,51,595.2914899,51,0,51,0
52,0,52,1.981550233,52,0,52,0,52,0,52,0,52,211.0350998,52,0,52,0
53,0,53,2.960102815,53,0,53,0,53,0,53,0,53,1332.046267,53,0,53,0
54,0,54,0.983248184,54,0,54,0,54,0,54,0,54,897.7055923,54,0,54,0
55,0,55,4.902084273,55,0,55,0,55,0,55,0,55,852.9626634,55,0,55,0
56,0,56,0,56,0,56,0,56,0,56,0,56,44.99751964,56,0,56,0
57,0,57,0,57,0,57,0,57,0,57,0,57,9765.208054,57,0,57,0
58,0,58,0,58,0,58,0,58,0,58,0,58,316.1110568,58,0,58,0
59,0,59,0,59,0,59,0,59,0,59,0,59,33.1603964,59,0,59,0
66,0,66,0.990286219,66,0,66,0,66,0,66,0,66,0,66,0,66,0
67,0,67,0.994911979,67,0,67,0,67,0,67,0,67,0,67,0,67,0
68,0,68,5.000795817,68,0,68,0,68,0,68,0,68,32.00509323,68,0,68,0
69,0,69,65.39180514,69,0,69,0,69,0,69,0,69,182.0910266,69,0,69,0
70,0,70,83.0264599,70,0,70,0,70,0,70,0,70,139.7274569,70,0,70,0
71,0,71,8.157034082,71,0,71,0,71,0,71,0,71,709.6619651,71,0,71,0
72,0,72,1.027362141,72,0,72,0,72,0,72,0,72,2629.019718,72,0,72,0
73,0,73,0,73,0,73,0,73,0,73,0,73,113.928809,73,0,73,0
