Temp,Acetaldehyde Concentration Relative to CO,(E) 2-Butenal (Crotonaldehyde Concentration Relative to CO,CO Concentration Relative to CO,CO2 Concentration Relative to CO,Ethylene (Ethene) Concentration Relative to CO,Ethanol Concentration Relative to CO,Crotyl Alcohol Concentration Relative to CO,H2 Concentration Relative to CO,H2O Concentration Relative to CO
300.3965,1.595873701810312,0.5045008829127461,4.1953808316346555,1.5833417758630541,0.4483579534442375,0.2109530214350902,-0.49984395991695113,0.7460962073144914,0.3210136450087356
301.4013,1.5813344977336636,0.5250593408806263,4.2034713180699965,1.5767841371495352,0.4482379058195725,0.21241696116893471,-0.5118985890758344,0.7475915267841872,0.3139932211552513
302.2625,1.6060042726465453,0.549372903725257,4.198105211667735,1.5613132542734114,0.45663474665742554,0.23252293775892938,-0.6018276850431267,0.748126560880791,0.3135634177723527
303.1762,1.6133712552239206,0.5665536441584108,4.196906499775462,1.5536900591998084,0.46126237390223845,0.24189656508743135,-0.6441733549912233,0.7461301552361248,0.3130370077205789
304.1567,1.6212768330034064,0.5849904571109196,4.195620150853087,1.545509537398704,0.46622832390063934,0.25195549208272094,-0.6896148887376485,0.7439877937010531,0.3124721121796307
304.8878,1.627171547857646,0.5987376819447591,4.194660997668847,1.5394098132897933,0.4699311347561529,0.2594558302023094,-0.7234979130334286,0.7423903632897415,0.3120509034800009
305.83,1.6347683203041847,0.6164543215815292,4.193424895726305,1.531548836603409,0.47470310628954704,0.26912183837667086,-0.7671644230751217,0.7403316860451269,0.31150807372101946
306.8916,1.6433277913604845,0.6364160968292428,4.192032149152115,1.5226916801076913,0.4800798044214209,0.2800127684105305,-0.8163645579299964,0.7380121235712543,0.3108964540307896
307.7955,1.6500446978613406,0.6601935481289368,4.187354974918514,1.522183298208051,0.4709231090700203,0.2783652185027195,-0.8347232861098076,0.7381838472210971,0.3159502718864697
308.5778,1.6625866906967945,0.6419080175251725,4.179846080323665,1.5191431002187263,0.4875792438739099,0.2948912137773432,-0.8723035828981606,0.7325114422424781,0.3148966958433853
