Mass,Acetaldehyde
1.0,0.0
2.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
22.0,0.0
24.0,0.0
25.0,0.0
26.0,10.701070107010702
27.0,7.740774077407742
28.0,61.03610361036104
29.0,100.0
30.0,0.0
41.0,5.4605460546054605
44.0,99.9899989999
45.0,0.0
46.0,0.0
