2buten1ol(crotyl alcohol),2butenalE(crotonaldehyde),2buteneE,13butadiene,acetaldehyde,acetone,diethylether,ethanol
31.193119311931195,100.0,100.0,0.0,5.090509050905091,2.7802780278027805,6.0906090609060906,0.0
8.130813081308132,30.003000300030003,3.4003400340034005,0.0,12.791279127912793,9.61096109610961,0.0,4.74047404740474
41.12411241124113,4.000400040004001,0.0,0.0,47.4947494749475,100.0,8.29082908290829,11.441144114411442
10.781078107810782,0.0,0.0,0.0,82.59825982598261,2.4602460246024602,0.0,0.0
3.0803080308030806,0.0,0.0,0.0,2.7902790279027903,0.0,44.594459445944594,51.4951495149515
0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.632163216321633
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.28022802280228,4.000400040004001,0.0,8.11081108110811,0.0,0.0,0.0,0.0
6.700670067006701,5.000500050005001,6.210621062106211,26.822682268226824,0.0,0.0,0.0,0.0
5.980598059805981,4.000400040004001,6.010601060106011,25.322532253225322,0.0,0.0,0.0,0.0
2.13021302130213,2.0002000200020005,2.0002000200020005,11.411141114111413,0.0,0.0,0.0,0.0
13.501350135013501,3.0003000300030003,8.11081108110811,70.86708670867087,0.0,0.0,0.0,0.0
9.13091309130913,0.0,3.6003600360036003,95.1995199519952,0.0,0.0,0.0,0.0
8.7008700870087,5.000500050005001,22.022202220222024,4.300430043004301,0.0,0.0,0.0,0.0
0.0,0.0,47.84478447844785,0.0,0.0,0.0,0.0,0.0
100.0,0.0,2.1002100210021,0.0,0.0,0.0,0.0,0.0
3.2403240324032403,0.0,0.0,0.0,0.0,24.842484248424842,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,67.0967096709671,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.19021902190219,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.000500050005001,0.0,0.0,0.0,0.0,0.0,0.0
0.0,65.00650065006501,0.0,0.0,0.0,0.0,0.0,0.0
0.0,82.00820082008201,0.0,0.0,0.0,0.0,0.0,0.0
6.960696069606961,8.000800080008002,0.0,0.0,0.0,0.0,0.0,0.0
25.592559255925593,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4.690469046904691,0.0
0.0,0.0,0.0,0.0,0.0,0.0,43.994399439944,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0902090209020905,0.0
