# molecules ,2buten1ol(crotyl alcohol), 2butenalE(crotonaldehyde), 2buteneE, 13butadiene, acetaldehyde, acetone, diethylether, ethanol
ScaledConcentrations_Means,1.8983647376337238e-08,6.96819023320797e-08,6.440290995764733e-07,1.6582495165771262e-06,8.286309816594356e-06,4.6865403434392124e-07,1.4495896123491558e-08,0.0
ScaledConcentrations_StdDevs,2.0384829078368103e-09,1.2822331178787676e-09,2.0524480912887707e-08,5.236603002907676e-08,3.351025893805077e-07,1.699912677256461e-08,4.784144584050742e-10,0.0
ScaledConcentrations_StdErrs,1.1769186555780336e-09,7.402976357711596e-10,1.1849814580033055e-08,3.0233541533679495e-08,1.9347157018497675e-07,9.814450418128752e-09,2.762127163443786e-10,0.0
