Source:	Measured	 NIST	 NIST	 NIST	 NIST	 NIST	 NIST	 NIST	 NIST	 Fake-TuningCorrected
Molecules	Acetaldehyde	 (E) 2-Butenal (Crotonaldehyde	 CO	 CO2	 Ethylene (Ethene)	 Ethanol	 Crotyl Alcohol	 H2	 H2O	 1butanal
Electron Numbers	24	38	14	22	16	26	40	2	10	40
ionizationEfficiencies	1.428571429	2.028571429	1	1.342857143	1.085714286	1.514285714	2.114285714	0.485714286	0.828571429	2.114285714
ionizationEfficienciesSources	MadixAndKo	 MadixAndKo	 MadixAndKo	 MadixAndKo	 MadixAndKo	 MadixAndKo	 MadixAndKo	 MadixAndKo	 MadixAndKo	 MadixAndKo
Molecular Mass	44.0526	70.0898	28.01	44.01	28.0532	46.0684	72.1057	2.01588	18	72.11
2.40E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
2.50E+01	0.00E+00	6.20E+00	0.00E+00	0.00E+00	8.18E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
2.60E+01	1.07E+01	2.20E+01	0.00E+00	0.00E+00	5.46E+01	1.06E+01	1.46E+01	0.00E+00	0.00E+00	0.00E+00
2.70E+01	7.74E+00	5.89E+01	0.00E+00	0.00E+00	6.33E+01	2.38E+01	5.42E+01	0.00E+00	0.00E+00	5.08E+01
2.80E+01	6.10E+01	0.00E+00	1.00E+02	1.20E+01	1.00E+02	0.00E+00	1.85E+01	0.00E+00	0.00E+00	1.29E+01
2.90E+01	1.00E+02	4.55E+01	0.00E+00	0.00E+00	0.00E+00	3.07E+01	9.34E+01	0.00E+00	0.00E+00	4.67E+01
3.00E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	8.24E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
3.10E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E+02	3.62E+01	0.00E+00	0.00E+00	0.00E+00
3.20E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
3.30E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
3.40E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
3.60E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
3.70E+01	0.00E+00	1.88E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	7.86E+00	0.00E+00	0.00E+00	0.00E+00
3.80E+01	0.00E+00	3.00E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.38E+01	0.00E+00	0.00E+00	0.00E+00
3.90E+01	0.00E+00	9.91E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	5.90E+01	0.00E+00	0.00E+00	2.17E+01
4.00E+01	0.00E+00	2.73E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	8.08E+00	0.00E+00	0.00E+00	0.00E+00
4.10E+01	0.00E+00	1.00E+02	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.44E+01	0.00E+00	0.00E+00	5.82E+01
4.20E+01	0.00E+00	2.97E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	8.87E+00	0.00E+00	0.00E+00	1.16E+01
4.30E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	9.90E+00	4.44E+01	0.00E+00	0.00E+00	7.76E+01
4.40E+01	1.00E+02	0.00E+00	0.00E+00	1.00E+02	0.00E+00	0.00E+00	1.15E+01	0.00E+00	0.00E+00	1.00E+02
4.50E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.38E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
4.60E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.82E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
4.70E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
4.80E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
4.90E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.00E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	6.87E+00	0.00E+00	0.00E+00	0.00E+00
5.10E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	6.10E+00	0.00E+00	0.00E+00	0.00E+00
5.20E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.30E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.36E+01	0.00E+00	0.00E+00	0.00E+00
5.40E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	9.19E+00	0.00E+00	0.00E+00	0.00E+00
5.50E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	8.73E+00	0.00E+00	0.00E+00	0.00E+00
5.60E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.70E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E+02	0.00E+00	0.00E+00	3.22E+01
5.80E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.90E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.60E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.70E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.80E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.90E+01	0.00E+00	6.07E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
7.00E+01	0.00E+00	7.71E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
7.10E+01	0.00E+00	7.58E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	7.27E+00	0.00E+00	0.00E+00	0.00E+00
7.20E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.69E+01	0.00E+00	0.00E+00	0.00E+00
7.30E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
