Temp	m2.0	m18.0	m26.0	m27.0	m28.0	m29.0	m31.0	m39.0	m41.0	m44.0	m45.0	m56.0	m57.0	m70.0
176.8443	1.256021	0.204164	0.119782	0.123071	4.132262	0.258819	0.040899	0.031513	0.075708	1.260826	0.015456	0.002611	0.02328	0.009909
176.9281	1.220675	0.188067	0.163703	0.150418	4.085296	0.239688	0.07135	0.050291	0.041983	1.23552	0.035986	0.015136	-0.002228	0.006337
176.9268	1.292712	0.198677	0.122827	0.144313	4.158357	0.25186	0.043988	0.029541	0.073592	1.243669	0.010672	0.00858	0.020166	0.00986
176.8664	1.229984	0.197149	0.158845	0.153142	4.070209	0.240612	0.070813	0.045173	0.045451	1.232098	0.034019	0.011961	-0.003726	0.011054
176.914	1.300862	0.18959	0.121068	0.153246	4.129348	0.252546	0.037609	0.036558	0.070366	1.246036	0.011998	0.019765	0.015387	0.002871
176.883	1.223368	0.207215	0.154648	0.132503	4.073114	0.249133	0.067565	0.034557	0.044886	1.236384	0.037767	0.009787	-0.010698	0.01948
176.9234	1.278856	0.195808	0.125494	0.149864	4.139049	0.254447	0.039671	0.048123	0.074065	1.229706	0.01459	0.025848	0.015959	-0.007339
176.8343	1.218424	0.207038	0.157104	0.132671	4.15647	0.271972	0.061631	0.033677	0.044883	1.241965	0.037634	0.000345	-0.00349	0.020878
176.8869	1.242092	0.178526	0.122475	0.157492	4.100728	0.246324	0.039523	0.049302	0.065236	1.237541	0.013947	0.02223	0.018249	-0.008264
176.8666	1.226925	0.21041	0.153253	0.131345	4.086851	0.255396	0.062686	0.032237	0.0537	1.268685	0.030323	-0.002205	0.00141	0.017697
176.8004	1.292941	0.192076	0.124138	0.15375	4.170286	0.242121	0.04423	0.051914	0.05981	1.247611	0.024619	0.029022	0.014779	-0.012791
176.889	1.263359	0.212304	0.153037	0.137385	4.094822	0.26963	0.06345	0.024026	0.059171	1.262428	0.0263	-0.008468	0.001765	0.027732
177.0114	1.22618	0.175664	0.128456	0.17111	4.102196	0.232231	0.050583	0.052518	0.057755	1.228801	0.028446	0.03112	0.001552	-0.016602
176.8458	1.21271	0.212036	0.146315	0.129465	4.169084	0.254981	0.046731	0.023653	0.062677	1.275233	0.023904	-0.009522	0.009002	0.028672
176.9231	1.314923	0.174459	0.134906	0.159866	4.123524	0.239829	0.055543	0.057198	0.048266	1.22573	0.032696	0.028601	0.002204	-0.013014
176.9848	1.233463	0.223855	0.130891	0.125507	4.1538	0.258898	0.054339	0.032078	0.063311	1.276184	0.023506	-0.010619	0.012642	0.02743
