Source:	NIST	NIST	NIST	NIST	NIST	NISTFake
3.400000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.116136387645673800e-01	0.000000000000000000e+00
3.600000000000000000e+01	0.000000000000000000e+00	4.237727434232961166e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.261328684641254139e+00	3.000300030003000273e-01
3.700000000000000000e+01	0.000000000000000000e+00	1.883539726197334474e+01	0.000000000000000000e+00	0.000000000000000000e+00	7.855627458810516828e+00	2.700270027002700246e+00
3.800000000000000000e+01	0.000000000000000000e+00	2.998505241177036851e+01	0.000000000000000000e+00	0.000000000000000000e+00	1.376908994221824578e+01	4.600460046004601011e+00
3.900000000000000000e+01	0.000000000000000000e+00	9.914379264427937244e+01	0.000000000000000000e+00	0.000000000000000000e+00	5.897378478936810353e+01	2.312231223122312329e+01
4.000000000000000000e+01	0.000000000000000000e+00	2.729191995667869008e+01	0.000000000000000000e+00	0.000000000000000000e+00	8.078669091713344130e+00	3.000300030003000273e+00
4.100000000000000000e+01	5.460546054605460498e+00	1.000000000000000000e+02	0.000000000000000000e+00	1.209212575432481840e+00	3.438668376988171360e+01	6.055605560556055877e+01
4.200000000000000000e+01	0.000000000000000000e+00	2.969896305621298538e+01	0.000000000000000000e+00	4.141303211795263728e+00	8.872419450859558410e+00	1.191119111911191197e+01
4.300000000000000000e+01	0.000000000000000000e+00	3.921632500650078068e+00	0.000000000000000000e+00	9.898550029906010295e+00	2.222089260157815360e+01	7.867786778677867687e+01
4.400000000000000000e+01	9.998999899989999562e+01	0.000000000000000000e+00	0.000000000000000000e+00	6.087061052436824049e-01	5.772060921621814167e+00	1.000000000000000000e+02
4.500000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.376220985736383540e+01	1.634895150386521667e+00	3.500350035003500615e+00
4.600000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.823431239739768017e+01	0.000000000000000000e+00	4.000400040004000735e-01
4.700000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.107277440983019945e-01	0.000000000000000000e+00	0.000000000000000000e+00
4.800000000000000000e+01	0.000000000000000000e+00	9.412805479404549036e-01	0.000000000000000000e+00	0.000000000000000000e+00	2.386593250356159046e-01	1.000100010001000184e-01
4.900000000000000000e+01	0.000000000000000000e+00	3.740747307270110067e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.175262070867906683e+00	5.000500050005001196e-01
5.000000000000000000e+01	0.000000000000000000e+00	4.648351854045197129e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.433248865216651069e+00	1.200120012001200109e+00
5.100000000000000000e+01	0.000000000000000000e+00	3.698924717987872146e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.048022564947595825e+00	8.000800080008001469e-01
5.200000000000000000e+01	0.000000000000000000e+00	1.840738506598672330e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.080545845173039421e+00	2.000200020002000367e-01
5.300000000000000000e+01	0.000000000000000000e+00	2.749753775765938713e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.820368084499595973e+00	2.500250025002500376e+00
5.400000000000000000e+01	0.000000000000000000e+00	9.133771951326637994e-01	0.000000000000000000e+00	0.000000000000000000e+00	4.596448879715799407e+00	2.300230023002300506e+00
5.500000000000000000e+01	0.000000000000000000e+00	4.553735319766106571e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.367355302023552710e+00	3.000300030003000273e+00
5.600000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.303971374248817705e-01	4.000400040004000735e-01
5.700000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000142e+02	2.582258225822582531e+01
5.800000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.618557715575324574e+00	1.100110011001100174e+00
7.300000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	5.833404079564530331e-01	1.000100010001000184e-01
