Source:	Measured-TuningCorrected	Measured-TuningCorrected	Measured-TuningCorrected	Measured-TuningCorrected	Measured-TuningCorrected	Measured-TuningCorrected	Measured-TuningCorrected	Measured-TuningCorrected	Measured-TuningCorrected
Molecules	Acetaldehyde	(E) 2-Butenal (Crotonaldehyde	CO	CO2	Ethylene (Ethene)	Ethanol	Crotyl Alcohol	H2	H2O
Electron Numbers	24	38	14	22	16	26	40	2	10
ionizationEfficiencies	1.4285714285714284	2.0285714285714285	1.0	1.342857142857143	1.0857142857142859	1.5142857142857142	2.1142857142857143	0.48571428571428577	0.8285714285714285
ionizationEfficienciesSources	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo
Molecular Mass	44.0526	70.0898	28.01	44.01	28.0532	46.0684	72.1057	2.01588	18.0
2.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+02	0.000000000000000000e+00
1.200000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.505962646262494786e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.800000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+02
2.500000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	7.698297763831921436e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.600000000000000000e+01	1.011573346553357311e+01	1.864788075721182636e+01	0.000000000000000000e+00	0.000000000000000000e+00	5.251965550364979407e+01	9.738228137954649810e+00	1.373312330913636181e+01	0.000000000000000000e+00	0.000000000000000000e+00
2.700000000000000000e+01	7.467472630513546150e+00	5.100792979324382515e+01	0.000000000000000000e+00	0.000000000000000000e+00	6.215078952773259857e+01	2.226230917208413018e+01	5.192155881877351931e+01	0.000000000000000000e+00	0.000000000000000000e+00
2.800000000000000000e+01	5.999398718083394755e+01	0.000000000000000000e+00	1.000000000000000000e+02	1.000000000000000000e+02	1.000000000000000000e+02	0.000000000000000000e+00	1.801261275311410515e+01	0.000000000000000000e+00	0.000000000000000000e+00
2.900000000000000000e+01	1.000000000000000000e+02	4.082926663465433137e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.982208773151871739e+01	9.272691549288796864e+01	0.000000000000000000e+00	0.000000000000000000e+00
3.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	8.120993542932948728e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
3.100000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+02	3.704995699816679888e+01	0.000000000000000000e+00	0.000000000000000000e+00
3.200000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
4.100000000000000000e+01	6.085605195684314239e+00	1.000000000000000000e+02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.804009593678578938e+01	0.000000000000000000e+00	0.000000000000000000e+00
4.200000000000000000e+01	0.000000000000000000e+00	2.975237396714376104e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	9.832720902966315180e+00	0.000000000000000000e+00	0.000000000000000000e+00
4.300000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.073071353738822786e+01	4.928919712385415863e+01	0.000000000000000000e+00	0.000000000000000000e+00
5.700000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+02	0.000000000000000000e+00	0.000000000000000000e+00
7.200000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.703837089443638675e+01	0.000000000000000000e+00	0.000000000000000000e+00
7.300000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
