Source:	Measured-TuningCorrected	 Measured-TuningCorrected	 Measured-TuningCorrected	 Measured-TuningCorrected	 Measured-TuningCorrected	 Measured-TuningCorrected	 Measured-TuningCorrected	 Measured-TuningCorrected	 Measured-TuningCorrected	 NISTFake-TuningCorrected-TuningCorrected
2.20E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
2.40E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
2.50E+01	0.00E+00	6.75E+00	0.00E+00	0.00E+00	8.27E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
2.60E+01	1.08E+01	2.38E+01	0.00E+00	0.00E+00	5.50E+01	1.08E+01	1.59E+01	0.00E+00	0.00E+00	0.00E+00
2.70E+01	7.80E+00	6.36E+01	0.00E+00	0.00E+00	6.36E+01	2.42E+01	5.85E+01	0.00E+00	0.00E+00	5.69E+01
2.80E+01	6.13E+01	0.00E+00	1.00E+02	1.33E+01	1.00E+02	0.00E+00	1.98E+01	0.00E+00	0.00E+00	1.44E+01
2.90E+01	1.00E+02	4.87E+01	0.00E+00	0.00E+00	0.00E+00	3.10E+01	1.00E+02	0.00E+00	0.00E+00	5.18E+01
3.00E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	8.28E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
3.10E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E+02	3.84E+01	0.00E+00	0.00E+00	0.00E+00
3.20E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
3.30E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
3.40E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
3.60E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
3.70E+01	0.00E+00	1.93E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	8.04E+00	0.00E+00	0.00E+00	0.00E+00
3.80E+01	0.00E+00	3.05E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.40E+01	0.00E+00	0.00E+00	0.00E+00
3.90E+01	0.00E+00	1.00E+02	0.00E+00	0.00E+00	0.00E+00	0.00E+00	5.94E+01	0.00E+00	0.00E+00	2.27E+01
4.00E+01	0.00E+00	2.73E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	8.08E+00	0.00E+00	0.00E+00	0.00E+00
4.10E+01	0.00E+00	9.92E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.41E+01	0.00E+00	0.00E+00	5.98E+01
4.20E+01	0.00E+00	2.92E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	8.72E+00	0.00E+00	0.00E+00	1.18E+01
4.30E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	9.09E+00	4.33E+01	0.00E+00	0.00E+00	7.83E+01
4.40E+01	9.01E+01	0.00E+00	0.00E+00	1.00E+02	0.00E+00	0.00E+00	1.11E+01	0.00E+00	0.00E+00	1.00E+02
4.50E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.94E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
4.60E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.63E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
4.70E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
4.80E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
4.90E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.00E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	6.20E+00	0.00E+00	0.00E+00	0.00E+00
5.10E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	5.43E+00	0.00E+00	0.00E+00	0.00E+00
5.20E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.30E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.18E+01	0.00E+00	0.00E+00	0.00E+00
5.40E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	7.86E+00	0.00E+00	0.00E+00	0.00E+00
5.50E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	7.35E+00	0.00E+00	0.00E+00	0.00E+00
5.60E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.70E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	8.15E+01	0.00E+00	0.00E+00	2.72E+01
5.80E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.90E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.60E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.70E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.80E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.90E+01	0.00E+00	3.83E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
7.00E+01	0.00E+00	4.73E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
7.10E+01	0.00E+00	4.51E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.33E+00	0.00E+00	0.00E+00	0.00E+00
7.20E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.55E+01	0.00E+00	0.00E+00	0.00E+00
7.30E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
