Temp	Ethanol Concentration Relative to CO
176.8481	0.1101926283202718
176.8945	0.11029596487657191
176.8788	0.11026099970558251
176.7941	0.11007236594871567
176.7974	0.11007971531586634
176.8505	0.11019797331456323
176.9009	0.11031021819468231
176.9665	0.1104563147053135
176.9055	0.1103204627670741
176.8099	0.11010755382780064
176.8533	0.11020420914123649
176.9335	0.11038282103380698
176.881	0.11026589928368291
176.8105	0.11010889007637346
176.8207	0.11013160630211183
176.7429	0.1099583394038328
176.7739	0.11002737891342981
176.8874	0.11028015260179333
176.8942	0.11029529675228553
176.8326	0.11015810856547333
176.8189	0.11012759755639336
176.8509	0.11019886414694509
176.8443	0.11018416541264384
176.9281	0.11037079479665131
176.9268	0.11036789959141012
176.8664	0.11023338390174364
176.914	0.11033939295518944
176.883	0.11027035344559243
176.9234	0.11036032751616402
176.8343	0.11016189460309637
176.8869	0.1102790390613159
176.8666	0.11023382931793459
176.8004	0.11008639655873054
176.889	0.11028371593132089
177.0114	0.1105563106401815
176.8458	0.11018750603407593
176.9231	0.11035965939187763
176.9848	0.11049707028678532
177.0193	0.11057390457972392
177.032	0.11060218850784925
176.9611	0.11044428846815783
176.8494	0.110195523525513
176.9185	0.11034941481948576
176.8734	0.11024897346842687
176.9646	0.11045208325149948
176.9394	0.11039596081143996
176.8496	0.11019596894170397
176.9133	0.11033783399852112
176.7969	0.11007860177538893
176.792	0.11006768907871069
176.7845	0.11005098597155018
176.8007	0.11008706468301697
176.9141	0.11033961566328493
176.8142	0.11011713027590603
176.7997	0.11008483760206221
176.7839	0.11004964972297723
176.8388	0.1101719164673927
176.9101	0.11033070733946593
177.0272	0.11059149851926642
177.0201	0.11057568624448778
176.969	0.11046188240770033
177.0026	0.11053671232777974
176.9059	0.11032135359945604
176.8848	0.11027436219131094
176.8855	0.11027592114797925
176.9602	0.11044228409529858
177.023	0.11058214477925649
176.9497	0.1104188997452738
176.8147	0.11011824381638335
176.8542	0.11020621351409576
176.9009	0.11031021819468231
176.9337	0.11038326644999787
176.8691	0.11023939702032144
176.9353	0.11038682977952549
176.9734	0.11047168156390123
176.9555	0.11043181681481133
176.8202	0.11013049276163449
176.9251	0.11036411355378707
176.8746	0.1102516459655725
177.0054	0.11054294815445301
177.0023	0.11053604420349329
177.0163	0.11056722333685975
177.1247	0.11080657319163131
177.248	0.11106662472596877
177.2921	0.11115963585868806
177.5623	0.11172951359249174
177.7207	0.11187909938801806
177.9972	0.11237547358004965
178.29	0.11303486003522896
178.6543	0.11352345486928091
179.0592	0.11508345155321355
179.3064	0.11563433716219734
179.7101	0.11600345413343305
180.1774	0.11851197420010699
180.5681	0.11951018518525974
180.8962	0.11634273981545248
181.384	0.11898385670303437
181.8506	0.11726234327747931
182.297	0.1178560889948329
182.8438	0.12145813672638917
183.2631	0.119685353489933
183.6243	0.12324364435783608
184.0933	0.12470090272140202
184.5898	0.12221910914062771
185.0357	0.12425227713955143
185.4777	0.11988573928896981
185.9069	0.12057140143576447
186.4914	0.12256554166877585
187.0203	0.11984922929749585
187.6229	0.12049857363651989
188.1595	0.12028934026796977
188.6697	0.11933987355351164
189.3571	0.12159156095323986
189.9038	0.12103190482631479
190.5653	0.12226888305147743
191.2235	0.12186164257429502
191.9041	0.1227414356429294
192.46	0.12341707802705541
193.0445	0.12200347146096631
193.7611	0.12069454107587824
194.4817	0.12254260575352134
195.1538	0.12187788186277436
195.7753	0.12198808859731068
196.417	0.12234263897796123
197.0638	0.12503812148312732
197.6513	0.1240807332906254
198.3369	0.12876755809416818
199.1706	0.12323573346172964
199.7659	0.13065016960184944
