Mass	Ethanol
1.0	0.0
2.0	0.0
12.0	0.2727274627199628
13.0	1.8624868432810446
14.0	1.9092285360332901
15.0	8.59222336739209
16.0	0.0
17.0	0.8750968451907074
18.0	0.6759318229139903
19.0	3.371170993301274
20.0	0.0
22.0	0.0
24.0	0.6787087553637104
25.0	2.6937791001083835
26.0	10.617674226490585
27.0	23.784859078083752
28.0	3.6061935501636495
29.0	30.73673009667451
30.0	8.2389447928761
31.0	100.0
32.0	0.0
33.0	0.3014848197409141
34.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	1.2092125754324818
42.0	4.141303211795264
43.0	9.89855002990601
44.0	0.6087061052436824
45.0	43.762209857363835
46.0	18.23431239739768
47.0	0.610727744098302
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
52.0	0.0
53.0	0.0
54.0	0.0
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
66.0	0.0
67.0	0.0
68.0	0.0
69.0	0.0
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
