Temp,m18.0
176.8481,494934.21240577317
176.8945,494934.21240577317
176.8788,494934.21240577317
176.7941,494934.21240577317
176.7974,494934.21240577317
176.8505,494934.21240577317
176.9009,494934.21240577317
176.9665,494934.21240577317
176.9055,494934.21240577317
176.8099,494934.21240577317
176.8533,494934.21240577317
176.9335,494934.21240577317
176.881,494934.21240577317
176.8105,494934.21240577317
176.8207,494934.21240577317
176.7429,494934.21240577317
176.7739,494934.21240577317
176.8874,494934.21240577317
176.8942,494934.21240577317
176.8326,494934.21240577317
176.8189,494934.21240577317
176.8509,494934.21240577317
176.8443,494934.21240577317
176.9281,494934.21240577317
176.9268,494934.21240577317
176.8664,494934.21240577317
176.914,494934.21240577317
176.883,494934.21240577317
176.9234,494934.21240577317
176.8343,494934.21240577317
176.8869,494934.21240577317
176.8666,494934.21240577317
176.8004,494934.21240577317
176.889,494934.21240577317
177.0114,494934.21240577317
176.8458,494934.21240577317
176.9231,494934.21240577317
176.9848,494934.21240577317
177.0193,494934.21240577317
177.032,494934.21240577317
176.9611,494934.21240577317
176.8494,494934.21240577317
176.9185,494934.21240577317
176.8734,494934.21240577317
176.9646,494934.21240577317
176.9394,494934.21240577317
176.8496,494934.21240577317
176.9133,494934.21240577317
176.7969,494934.21240577317
176.792,494934.21240577317
176.7845,494934.21240577317
176.8007,494934.21240577317
176.9141,494934.21240577317
176.8142,494934.21240577317
176.7997,494934.21240577317
176.7839,494934.21240577317
176.8388,494934.21240577317
176.9101,494934.21240577317
177.0272,494934.21240577317
177.0201,494934.21240577317
176.969,494934.21240577317
177.0026,494934.21240577317
176.9059,494934.21240577317
176.8848,494934.21240577317
176.8855,494934.21240577317
176.9602,494934.21240577317
177.023,494934.21240577317
176.9497,494934.21240577317
176.8147,494934.21240577317
176.8542,494934.21240577317
176.9009,494934.21240577317
176.9337,494934.21240577317
176.8691,494934.21240577317
176.9353,494934.21240577317
176.9734,494934.21240577317
176.9555,494934.21240577317
176.8202,494934.21240577317
176.9251,494934.21240577317
176.8746,494934.21240577317
177.0054,494934.21240577317
177.0023,494934.21240577317
177.0163,494934.21240577317
177.1247,494934.2124057731
177.248,494934.2124057731
177.2921,494934.2124057731
177.5623,494934.2124057731
177.7207,494934.21240577294
177.9972,494934.21240577294
178.29,494934.2124057729
178.6543,494934.212405773
179.0592,494934.2124057728
179.3064,494934.2124057728
179.7101,494934.2124057729
180.1774,494934.21240577294
180.5681,494934.21240577294
180.8962,494934.21240577305
181.384,494934.212405773
181.8506,494934.21240577294
182.297,494934.21240577294
182.8438,494934.21240577276
183.2631,494934.2124057731
183.6243,494934.2124057727
184.0933,494934.21240577276
184.5898,494934.2124057728
185.0357,494934.2124057729
185.4777,494934.21240577294
185.9069,494934.212405773
186.4914,494934.2124057727
187.0203,494934.2124057729
187.6229,494934.2124057727
188.1595,494934.21240577294
188.6697,494934.2124057729
189.3571,494934.2124057726
189.9038,494934.212405773
190.5653,494934.2124057727
191.2235,494934.21240577265
191.9041,494934.21240577294
192.46,494934.212405773
193.0445,494934.2124057727
193.7611,494934.21240577305
194.4817,494934.21240577294
195.1538,494934.212405773
195.7753,494934.2124057729
196.417,494934.212405773
197.0638,494934.21240577294
197.6513,494934.2124057729
198.3369,494934.2124057727
199.1706,494934.212405773
199.7659,494934.2124057728
