Temp,m2.0,m18.0,m27.0,m28.0,m31.0,m39.0,m41.0,m44.0,m57.0,m70.0
300.3965,1.361715,0.282666,0.19824399999999998,4.631294,0.048186999999999994,0.042874520209439354,0.109273,1.778858,0.027195,0.021266000000000004
301.4013,1.314716,0.24959700000000004,0.21151599999999998,4.693194,0.079651,0.0056802035053153035,0.07370299999999999,1.752643,-0.011862,0.009690999999999984
302.2625,1.3310120000000003,0.271373,0.20129799999999995,4.672802999999999,0.04558400000000001,0.03940742955737358,0.12008399999999998,1.7420529999999999,0.025766,0.019204
303.1762,1.320415,0.253498,0.212975,4.689217,0.084071,0.004675327822403321,0.083113,1.7522769999999999,-0.013171,0.009197000000000007
304.1567,1.3664589999999999,0.25806400000000007,0.20671500000000004,4.638986,0.05074599999999999,0.04689740882837329,0.114351,1.713253,0.018557,0.022654999999999995
304.8878,1.337911,0.25003000000000003,0.192838,4.671385,0.076372,0.036267529489830544,0.083506,1.7417029999999998,-0.005037,0.02051200000000001
305.83,1.3454210000000002,0.258787,0.20144999999999996,4.671900999999999,0.056472999999999995,0.03199869090421366,0.11196299999999998,1.735348,0.021396,0.008021000000000002
306.8916,1.328109,0.278019,0.184383,4.6616480000000005,0.08007500000000001,0.06949869268717782,0.080608,1.760039,0.002422,0.025577000000000006
307.7955,1.287435,0.2606,0.215574,4.67051,0.059809,0.017113884774562268,0.11275699999999998,1.729282,0.018266,0.0026409999999999984
308.5778,1.298917,0.275055,0.18195900000000004,4.68537,0.073568,0.05678211617878867,0.07627799999999998,1.792846,-0.003379,0.022005999999999994
