Acetaldehyde,(E) 2-Butenal (Crotonaldehyde,CO,CO2,Ethylene (Ethene),Ethanol,Crotyl Alcohol,H2,H2O
0.0,0.0,0.0,0.0,0.15584514274110817,0.0,0.0,100.0,0.0
0.0,0.0,0.0,0.0,0.0,0.6759318229139903,1.0131575188454247,0.0,100.0
7.740774077407742,58.92724675382846,0.0,0.0,63.32545620828447,23.784859078083752,54.221916806279644,0.0,0.0
61.03610361036104,0.0,100.0,11.961704442827608,100.0,3.6061935501636495,18.461720805441836,0.0,0.0
0.0,2.2663906569606986,0.0,0.0,0.0,100.0,36.2146655805394,0.0,0.0
0.0,99.14379264427937,0.0,0.0,0.0,0.0,58.97378478936809,0.0,0.0
5.4605460546054605,100.0,0.0,0.0,0.0,1.2092125754324818,34.38668376988171,0.0,0.0
99.9899989999,0.0,0.0,100.0,0.0,0.6087061052436824,11.544121843243627,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,99.99999999999999,0.0,0.0
0.0,77.12648372941881,0.0,0.0,0.0,0.0,1.4308702500482329,0.0,0.0
