Acetaldehyde,(E) 2-Butenal (Crotonaldehyde,CO,CO2,Ethylene (Ethene),Ethanol,Crotyl Alcohol,H2,H2O
0.0,0.0,0.0,0.0,0.0007371955535375346,0.0,0.0,1.8029975830265692,0.0
0.0,0.0,0.0,0.0,0.0,0.0033099063930852025,0.0023739785014540746,0.0,0.8424408931717503
0.03750852419804284,0.1428289251777521,0.0,0.0,0.2995489235457845,0.11646981909858693,0.12705000202050298,0.0,0.0
0.2957551979078236,0.0,0.9414968665339944,0.08458101026827541,0.4730308180102685,0.017658826945187674,0.04325855306066596,0.0,0.0
0.0,0.005717768260373833,0.0,0.0,0.0,0.48968050926160755,0.08485633864250956,0.0,0.0
0.0,0.2437869708705337,0.0,0.0,0.0,0.0,0.138184334244032,0.0,0.0
0.02645950156606123,0.24606360612374978,0.0,0.0,0.0,0.005921278297433177,0.08057310586233041,0.0,0.0
0.48450933453750944,0.0,0.0,0.7070983125568803,0.0,0.0029807151560637605,0.027049591560692865,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.23431484809322287,0.0,0.0
0.0,0.09704417522376915,0.0,0.0,0.0,0.0,0.003352741452811635,0.0,0.0
