Mass,Acetaldehyde
12.0,0.9000900090009001
13.0,2.9902990299029906
14.0,10.891089108910892
15.0,36.493649364936495
16.0,5.690569056905691
17.0,0.3000300030003
18.0,1.0901090109010902
19.0,0.10001000100010002
21.0,0.10001000100010002
24.0,0.7000700070007001
25.0,2.3902390239023905
26.0,5.4905490549054905
27.0,3.5903590359035906
28.0,3.2903290329032906
29.0,100.0
31.0,0.3000300030003
40.0,1.0901090109010902
41.0,5.090509050905091
42.0,12.791279127912793
43.0,47.4947494749475
44.0,82.59825982598261
45.0,2.7902790279027903
