Time,ethyne Concentration Relative to CO,ethene Concentration Relative to CO,ethane Concentration Relative to CO,1butanal Concentration Relative to CO
747.187,1.0614960653141096e-07,2.553215275488877e-07,1.798241936491399e-07,1.9783315304197919e-07
751.547,1.0614960653141096e-07,2.553215275488877e-07,1.798241936491399e-07,1.9783315304197919e-07
