Time,m12.0,m13.0,m14.0,m15.0,m16.0,m17.0,m21.0,m22.0,m24.0,m25.0,m26.0,m27.0,m28.0,m29.0,m30.0
747.187,1.51e-08,3.38e-08,5.92e-08,5.99e-08,1.78e-09,1.82e-09,2.54e-11,3.07e-11,3.25e-08,1.21e-07,6.63e-07,5.64e-07,1.4e-06,2.26e-07,2.16e-07
751.547,1.51e-08,3.38e-08,5.92e-08,5.99e-08,1.78e-09,1.82e-09,2.54e-11,3.07e-11,3.25e-08,1.21e-07,6.63e-07,5.64e-07,1.4e-06,2.26e-07,2.16e-07
