Time,ethyne Concentration Relative to CO,ethene Concentration Relative to CO,ethane Concentration Relative to CO,1butanal Concentration Relative to CO
747.187,2.6902198695709076e-07,8.069807502821944e-07,1.8219970746938638e-06,1.8461686993930294e-08
751.547,2.6902198695709076e-07,8.069807502821944e-07,1.8219970746938638e-06,1.8461686993930294e-08
