2buten1ol(crotyl alcohol),2butenalE(crotonaldehyde),2buteneE,13butadiene,acetaldehyde,acetone,diethylether,ethanol
0.0788416562062513,0.19540976831189658,0.3461693640230246,0.0,0.018832047252293753,0.018452907349435214,0.022910642899775537,0.0
0.02055090301240215,0.058628793372906274,0.01177093547032987,0.0,0.04732060596401515,0.06378864734822748,0.0,0.02169374651156103
0.10394257464575354,0.007817172449720838,0.0,0.0,0.17570411080774664,0.6637072682985709,0.031187065622190337,0.05235790297305025
0.027249536835632863,0.0,0.0,0.0,0.3055675407793597,0.016328831683313175,0.0,0.0
0.007785581953037961,0.0,0.0,0.0,0.010322477766974375,0.0,0.16774804054203465,0.2356563307764299
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09899488123313609
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005763352874326801,0.007817172449720838,0.0,0.019031833847159507,0.0,0.0,0.0,0.0
0.016936168534205955,0.009771465562151044,0.021499267432573084,0.06293881427630309,0.0,0.0,0.0,0.0
0.015116162363365911,0.007817172449720838,0.02080685946373016,0.059418746363758164,0.0,0.0,0.0,0.0
0.005384184922068459,0.003908586224860419,0.0069240796884293375,0.026775983254758325,0.0,0.0,0.0,0.0
0.034125115703250795,0.005862879337290627,0.028077143136580957,0.1662880081886218,0.0,0.0,0.0,0.0
0.023078689360791094,0.0,0.012463343439172804,0.2233835097301003,0.0,0.0,0.0,0.0
0.02199174123098385,0.009771465562151044,0.076234117369607,0.010090861349295424,0.0,0.0,0.0,0.0
0.0,0.0,0.16562398614722976,0.0,0.0,0.0,0.0,0.0
0.25275335697541096,0.0,0.007270283672850803,0.0,0.0,0.0,0.0,0.0
0.008190027768780193,0.0,0.0,0.0,0.0,0.16488137358272326,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.2523932729303679,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.008238802619131102,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.009771465562151044,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1270290523079636,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.16025203521927717,0.0,0.0,0.0,0.0,0.0,0.0
0.017593392984787078,0.015634344899441675,0.0,0.0,0.0,0.0,0.0,0.0
0.06468605265527319,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.017643828440057022,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.16549083434501244,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.007862601586294067,0.0
