time-s,2buten1ol(crotyl alcohol) Concentration Relative to CO,2butenalE(crotonaldehyde) Concentration Relative to CO,2buteneE Concentration Relative to CO,13butadiene Concentration Relative to CO,acetaldehyde Concentration Relative to CO,acetone Concentration Relative to CO,diethylether Concentration Relative to CO,ethanol Concentration Relative to CO
5618.562,2.4764052194264786e-08,7.113794208230225e-08,6.520794633211792e-07,1.7248425736377107e-06,7.96341092651239e-06,4.6698532436855823e-07,2.0285802155323463e-08,0.0
5638.531,2.0222895329423893e-08,6.801785690325391e-08,6.641550089382382e-07,1.6530123040578054e-06,8.748163735973119e-06,4.90257766351826e-07,2.016694003331961e-08,0.0
5658.5,2.6201730137575967e-08,6.988990801068291e-08,6.158528264700026e-07,1.5968936720358626e-06,8.147354787297562e-06,4.4871901231137956e-07,2.167252691203503e-08,0.0
