65,176.9602,44.0,CO2
65,176.9602,28.0,CO
66,177.023,2.0,H2
66,177.023,44.0,CO2
66,177.023,28.0,CO
67,176.9497,2.0,H2
67,176.9497,44.0,CO2
67,176.9497,28.0,CO
68,176.8147,2.0,H2
68,176.8147,44.0,CO2
68,176.8147,28.0,CO
69,176.8542,2.0,H2
69,176.8542,44.0,CO2
69,176.8542,28.0,CO
70,176.9009,2.0,H2
70,176.9009,44.0,CO2
70,176.9009,28.0,CO
71,176.9337,2.0,H2
71,176.9337,44.0,CO2
71,176.9337,28.0,CO
72,176.8691,2.0,H2
72,176.8691,44.0,CO2
72,176.8691,28.0,CO
73,176.9353,2.0,H2
73,176.9353,44.0,CO2
73,176.9353,28.0,CO
74,176.9734,2.0,H2
74,176.9734,44.0,CO2
74,176.9734,28.0,CO
75,176.9555,2.0,H2
75,176.9555,44.0,CO2
75,176.9555,28.0,CO
76,176.8202,2.0,H2
76,176.8202,44.0,CO2
76,176.8202,28.0,CO
77,176.9251,2.0,H2
77,176.9251,44.0,CO2
77,176.9251,28.0,CO
78,176.8746,2.0,H2
78,176.8746,44.0,CO2
78,176.8746,28.0,CO
79,177.0054,2.0,H2
79,177.0054,44.0,CO2
79,177.0054,28.0,CO
80,177.0023,2.0,H2
80,177.0023,44.0,CO2
80,177.0023,28.0,CO
81,177.0163,2.0,H2
81,177.0163,44.0,CO2
81,177.0163,28.0,CO
82,177.1247,2.0,H2
82,177.1247,44.0,CO2
82,177.1247,28.0,CO
83,177.248,2.0,H2
83,177.248,44.0,CO2
83,177.248,28.0,CO
84,177.2921,2.0,H2
84,177.2921,44.0,CO2
84,177.2921,28.0,CO
85,177.5623,2.0,H2
85,177.5623,44.0,CO2
85,177.5623,28.0,CO
86,177.7207,2.0,H2
86,177.7207,44.0,CO2
86,177.7207,28.0,CO
87,177.9972,2.0,H2
87,177.9972,44.0,CO2
87,177.9972,28.0,CO
88,178.29,2.0,H2
88,178.29,44.0,CO2
88,178.29,28.0,CO
89,178.6543,2.0,H2
89,178.6543,44.0,CO2
89,178.6543,28.0,CO
90,179.0592,2.0,H2
90,179.0592,44.0,CO2
90,179.0592,28.0,CO
91,179.3064,2.0,H2
91,179.3064,44.0,CO2
91,179.3064,28.0,CO
92,179.7101,2.0,H2
92,179.7101,44.0,CO2
92,179.7101,28.0,CO
93,180.1774,2.0,H2
93,180.1774,44.0,CO2
93,180.1774,28.0,CO
94,180.5681,2.0,H2
94,180.5681,44.0,CO2
94,180.5681,28.0,CO
95,180.8962,2.0,H2
95,180.8962,44.0,CO2
95,180.8962,28.0,CO
96,181.384,2.0,H2
96,181.384,44.0,CO2
96,181.384,28.0,CO
97,181.8506,2.0,H2
97,181.8506,44.0,CO2
97,181.8506,28.0,CO
98,182.297,2.0,H2
98,182.297,44.0,CO2
98,182.297,28.0,CO
99,182.8438,2.0,H2
99,182.8438,44.0,CO2
99,182.8438,28.0,CO
100,183.2631,2.0,H2
100,183.2631,44.0,CO2
100,183.2631,28.0,CO
101,183.6243,2.0,H2
101,183.6243,44.0,CO2
101,183.6243,28.0,CO
102,184.0933,2.0,H2
102,184.0933,44.0,CO2
102,184.0933,28.0,CO
103,184.5898,2.0,H2
103,184.5898,44.0,CO2
103,184.5898,28.0,CO
104,185.0357,2.0,H2
104,185.0357,44.0,CO2
104,185.0357,28.0,CO
105,185.4777,2.0,H2
105,185.4777,44.0,CO2
105,185.4777,28.0,CO
106,185.9069,2.0,H2
106,185.9069,44.0,CO2
106,185.9069,28.0,CO
107,186.4914,2.0,H2
107,186.4914,44.0,CO2
107,186.4914,28.0,CO
108,187.0203,2.0,H2
108,187.0203,44.0,CO2
108,187.0203,28.0,CO
109,187.6229,2.0,H2
109,187.6229,44.0,CO2
109,187.6229,28.0,CO
110,188.1595,2.0,H2
110,188.1595,44.0,CO2
110,188.1595,28.0,CO
111,188.6697,2.0,H2
111,188.6697,44.0,CO2
111,188.6697,28.0,CO
112,189.3571,2.0,H2
112,189.3571,44.0,CO2
112,189.3571,28.0,CO
113,189.9038,2.0,H2
113,189.9038,44.0,CO2
113,189.9038,28.0,CO
114,190.5653,2.0,H2
114,190.5653,44.0,CO2
114,190.5653,28.0,CO
115,191.2235,2.0,H2
115,191.2235,44.0,CO2
115,191.2235,28.0,CO
116,191.9041,2.0,H2
116,191.9041,44.0,CO2
116,191.9041,28.0,CO
117,192.46,2.0,H2
117,192.46,44.0,CO2
117,192.46,28.0,CO
118,193.0445,2.0,H2
118,193.0445,44.0,CO2
118,193.0445,28.0,CO
119,193.7611,2.0,H2
119,193.7611,44.0,CO2
119,193.7611,28.0,CO
120,194.4817,2.0,H2
120,194.4817,44.0,CO2
120,194.4817,28.0,CO
121,195.1538,2.0,H2
121,195.1538,44.0,CO2
121,195.1538,28.0,CO
122,195.7753,2.0,H2
122,195.7753,44.0,CO2
122,195.7753,28.0,CO
123,196.417,2.0,H2
123,196.417,44.0,CO2
123,196.417,28.0,CO
124,197.0638,2.0,H2
124,197.0638,44.0,CO2
124,197.0638,28.0,CO
125,197.6513,2.0,H2
125,197.6513,44.0,CO2
125,197.6513,28.0,CO
126,198.3369,2.0,H2
126,198.3369,44.0,CO2
126,198.3369,28.0,CO
127,199.1706,2.0,H2
127,199.1706,44.0,CO2
127,199.1706,28.0,CO
128,199.7659,2.0,H2
128,199.7659,44.0,CO2
128,199.7659,28.0,CO
