time-s,2buten1ol(crotyl alcohol) Concentration Relative to CO,2butenalE(crotonaldehyde) Concentration Relative to CO,13butadiene Concentration Relative to CO
5618.562,2.1507119101043256e-05,1.1875450376400847e-06,3.388652495673443e-06
5638.531,2.40420317697216e-05,1.3043515445208358e-06,3.7509042887235252e-06
5658.5,2.20248471468529e-05,1.214800176559208e-06,3.4683712936495223e-06
