Mass,2buten1ol(crotyl alcohol),2butenalE(crotonaldehyde),13butadiene
1.0,0.0,0.0,0.0
2.0,0.0,0.0,10.0
12.0,27.0,0.0,40.0
13.0,54.0,0.0,30.0
14.0,226.0,0.0,50.0
15.0,604.0,0.0,30.0
16.0,54.0,0.0,10.0
17.0,61.0,0.0,0.0
18.0,66.0,0.0,0.0
19.0,70.0,0.0,10.0
21.0,0.0,0.0,0.0
24.0,30.0,0.0,20.0
25.0,202.0,500.0,250.0
26.0,1087.0,1800.0,1541.0
27.0,4090.0,4900.0,4944.0
28.0,1414.0,0.0,3413.0
29.0,7263.0,3900.0,80.0
30.0,372.0,200.0,0.0
31.0,2899.0,200.0,0.0
32.0,126.0,0.0,0.0
33.0,0.0,100.0,0.0
34.0,26.0,0.0,0.0
36.0,108.0,400.0,90.0
37.0,681.0,1800.0,440.0
38.0,1208.0,2900.0,581.0
39.0,5234.0,9700.0,9999.0
40.0,725.0,2700.0,350.0
41.0,3119.0,9999.0,20.0
42.0,813.0,3000.0,0.0
43.0,4112.0,400.0,0.0
44.0,1078.0,0.0,0.0
45.0,308.0,0.0,0.0
46.0,0.0,0.0,0.0
47.0,0.0,0.0,0.0
48.0,46.0,100.0,150.0
49.0,228.0,400.0,811.0
50.0,670.0,500.0,2682.0
51.0,598.0,400.0,2532.0
52.0,213.0,200.0,1141.0
53.0,1350.0,300.0,7086.0
54.0,913.0,100.0,9519.0
55.0,870.0,500.0,430.0
56.0,46.0,0.0,10.0
57.0,9999.0,0.0,0.0
58.0,324.0,0.0,0.0
59.0,34.0,0.0,0.0
60.0,0.0,0.0,0.0
61.0,0.0,0.0,0.0
66.0,0.0,100.0,0.0
67.0,0.0,100.0,0.0
68.0,32.0,500.0,0.0
69.0,181.0,6500.0,0.0
70.0,138.0,8200.0,0.0
71.0,696.0,800.0,0.0
72.0,2559.0,100.0,0.0
73.0,110.0,0.0,0.0
74.0,0.0,0.0,0.0
75.0,0.0,0.0,0.0
