Mass,2buten1ol(crotyl alcohol),2butenalE(crotonaldehyde),13butadiene
1.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0
14.0,2.2602260226022604,0.0,0.0
15.0,6.040604060406041,0.0,0.0
16.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0
19.0,0.0,0.0,0.0
21.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0
25.0,2.0202020202020203,5.000500050005001,2.5002500250025004
26.0,10.871087108710872,18.001800180018,15.411541154115412
27.0,40.904090409040904,49.00490049004901,49.444944494449445
28.0,14.141414141414142,0.0,34.13341334133413
29.0,72.63726372637264,39.00390039003901,0.0
30.0,3.7203720372037203,2.0002000200020005,0.0
31.0,28.992899289928996,2.0002000200020005,0.0
32.0,0.0,0.0,0.0
33.0,0.0,0.0,0.0
34.0,0.0,0.0,0.0
36.0,0.0,4.000400040004001,0.0
37.0,6.810681068106811,18.001800180018,4.400440044004401
38.0,12.081208120812082,29.002900290029004,5.810581058105811
39.0,52.34523452345235,97.00970097009701,100.0
40.0,7.250725072507251,27.002700270027002,3.5003500350035006
41.0,31.193119311931195,100.0,0.0
42.0,8.130813081308132,30.003000300030003,0.0
43.0,41.12411241124113,4.000400040004001,0.0
44.0,10.781078107810782,0.0,0.0
45.0,3.0803080308030806,0.0,0.0
46.0,0.0,0.0,0.0
47.0,0.0,0.0,0.0
48.0,0.0,0.0,0.0
49.0,2.28022802280228,4.000400040004001,8.11081108110811
50.0,6.700670067006701,5.000500050005001,26.822682268226824
51.0,5.980598059805981,4.000400040004001,25.322532253225322
52.0,2.13021302130213,2.0002000200020005,11.411141114111413
53.0,13.501350135013501,3.0003000300030003,70.86708670867087
54.0,9.13091309130913,0.0,95.1995199519952
55.0,8.7008700870087,5.000500050005001,4.300430043004301
56.0,0.0,0.0,0.0
57.0,100.0,0.0,0.0
58.0,3.2403240324032403,0.0,0.0
59.0,0.0,0.0,0.0
60.0,0.0,0.0,0.0
61.0,0.0,0.0,0.0
66.0,0.0,0.0,0.0
67.0,0.0,0.0,0.0
68.0,0.0,5.000500050005001,0.0
69.0,0.0,65.00650065006501,0.0
70.0,0.0,82.00820082008201,0.0
71.0,6.960696069606961,8.000800080008002,0.0
72.0,25.592559255925593,0.0,0.0
73.0,0.0,0.0,0.0
74.0,0.0,0.0,0.0
75.0,0.0,0.0,0.0
