# molecules 	Acetaldehyde	(E) 2-Butenal (Crotonaldehyde	CO	CO2	Ethylene (Ethene)	Ethanol	H2	H2O
ScaledConcentrations_Means	0.537711823118542	0.42693585311988097	4.70161622920119	1.7703510710605668	0.4394752764513562	0.06452176992089172	0.8178456118899271	0.4544233578621404
ScaledConcentrations_StdDevs	0.15983105199734463	0.06755556449671449	0.27496138061998976	0.06478867835505658	0.047181152016194314	0.00479190078567025	0.10706181570367795	0.076716601198805
ScaledConcentrations_StdErrs	0.010448482730929786	0.004416245405391321	0.017974787759817187	0.004235368399901539	0.0030843283949277224	0.0003132563540170923	0.006998849838893952	0.005015121109349004
