Temp	Acetaldehyde Concentration Relative to CO	(E) 2-Butenal (Crotonaldehyde Concentration Relative to CO	CO Concentration Relative to CO	CO2 Concentration Relative to CO	Ethylene (Ethene) Concentration Relative to CO	Ethanol Concentration Relative to CO	H2 Concentration Relative to CO	H2O Concentration Relative to CO
446.7876	0.009999480838257377	0.009461534582422857	0.13921712375248724	0.054759084529135096	0.02480110285803102	0.0017519512208076606	0.021003623610989758	0.010378053550702187
447.5913	0.026994024821670674	0.05576180906239581	0.14103832002902544	0.06222771929200154	0.03364661688920547	0.005242042135639576	0.02049004563256479	0.014430120233325907
448.4523	0.026663168777321514	0.05662034498690626	0.141602810548702	0.0659128200289329	0.03459688570692977	0.004680398938366211	0.04390647265289143	0.01832641731601272
449.2989	0.025674022675109164	0.06379393153856695	0.14237627329679903	0.06804015258826326	0.03292057637295552	0.003559712427526026	0.03772749743520592	0.022268820959448307
450.1829	0.02502395227128416	0.07162222493636224	0.14293476108959158	0.06846723331012772	0.03349013577921037	0.0028383743528713878	0.037441987122630284	0.02438077771046672
451.0553	0.02489635097994666	0.06835733794072117	0.14761840486504665	0.06669581836725835	0.03413506998136701	0.002290309691578285	0.027089801543197522	0.027272781023347625
452.0611	0.022355044765949395	0.05111121196245329	0.1548340668419072	0.0633479284586552	0.032191768749585174	0.0034915419973671866	0.024856348062435096	0.030069507066157967
452.866	0.017406508477488623	0.025820866605808304	0.15507330893939267	0.05890772448205248	0.03299516440058618	0.004334880907827341	0.022829377133615304	0.027583793401451995
453.8276	0.015230836528643156	0.020783318689742515	0.15274968586514748	0.06044737921063007	0.03842516254493798	0.004606542743345149	0.020887524605060413	0.021895421446383317
454.7148	0.012259228667407179	0.01660972339090848	0.14443764355025523	0.06037180532596696	0.04841188672699491	0.007405165766930174	0.023742187578416903	0.017812513608140512
455.5357	0.011008155015534744	0.015829394964287435	0.1452316261817598	0.060005614219877136	0.055694373650429875	0.010159044330362434	0.023551213199393347	0.01466610762868406
456.419	0.011301607054701783	0.020818094648833045	0.14408329375174864	0.05939244977222989	0.02796241177972581	0.011390894705123333	0.02252837291522927	0.012754745096036569
457.3581	0.013924695840354539	0.022214216391088427	0.14194497490220848	0.061383213958418566	0.026820621925811403	0.010676622160076917	0.022005164986643615	0.012555922575190682
458.2446	0.017740009967247804	0.02412326411783314	0.1420444246791343	0.06266920298382266	0.02805682477075559	0.008132553413448474	0.02205269095228802	0.011977929143318045
459.005	0.01888865693676255	0.035325390967100384	0.14222065111521356	0.06193075135625712	0.029459739737449905	0.0037439778206900427	0.0220693396200461	0.012371140063641515
459.986	0.020876199916781402	0.04588892054366488	0.14029460645262096	0.0612537379800191	0.043581214552711176	0.0025260161825586282	0.020886652236679792	0.018173032118871755
460.8908	0.022623215448409298	0.05834179691589252	0.14021395373019113	0.061128816965323005	0.033009753000543686	0.005571141793349094	0.024015176744545615	0.01877528766836393
461.7132	0.025936358744114117	0.07205720894914898	0.14069823465918835	0.06454634931096584	0.032432642457203655	0.007371784928120612	0.027291872530116126	0.01877077671616559
462.6143	0.027317974648261627	0.07733803064261173	0.14141145741659478	0.07135526976389436	0.03301380779134627	0.008110424036571345	0.027941192566232047	0.018342256811520814
463.3707	0.024643064901977447	0.06985341983231343	0.1410919250524718	0.07056207191995204	0.03241455309656752	0.007928004366169347	0.031263690981621794	0.01707936909793208
464.2265	0.020541461216960242	0.06463787770235949	0.13994058605788523	0.06667045634600716	0.03124926191606459	0.008157142493374762	0.023287251664819104	0.015255340095813271
465.092	0.021911472173190505	0.0589335054041031	0.14008569414449562	0.06605027005942214	0.03679307637620064	0.010280564490065001	0.025431035077387715	0.015467371166105715
466.0494	0.02415619565329325	0.05219718133349183	0.14087241839115783	0.06717170615246422	0.05038845804260061	0.013670383688609119	0.020351823590812345	0.016052232511940368
466.9275	0.02297736813453243	0.04294639904012263	0.14252415578245256	0.06504815628776735	0.04234540830741117	0.01448062607503776	0.021810193408144395	0.012266919857470153
467.8186	0.019064121892735073	0.03015069958886717	0.1430194189935951	0.058969998227925376	0.03300532787336212	0.015124858316451781	0.0235895402356464	0.012095919797291776
468.6942	0.014421624854472187	0.01848548334832714	0.14289012613131336	0.059036228410492754	0.034371656433011225	0.016398256715948845	0.025259941826600723	0.012303507415760605
469.5271	0.014147130465460725	0.019645946349422374	0.14179774812696253	0.0589528108511214	0.03981182238975788	0.016261394406521554	0.02494870487410438	0.011601826658510717
470.481	0.014799559821396456	0.026053758255817298	0.14213804093346818	0.0609094997185252	0.04512708022840733	0.014795280915110726	0.024685262831531368	0.014349864830597374
471.4514	0.014909277408917093	0.030418656528556787	0.14131599547227783	0.05812591557422222	0.05214429028544676	0.012328689442462735	0.025719213188963145	0.0162004978347633
472.2106	0.014554267143570693	0.036387975582980625	0.1425765710656516	0.05857689843514851	0.04843701423253652	0.009507573428831238	0.025281322770405134	0.0202825454505339
473.1647	0.01710568206677763	0.0471727591998904	0.1423859575058314	0.059082279260746995	0.03674898974782172	0.008952048392893753	0.02219659802174354	0.02613778934379539
474.0643	0.019900905420768614	0.06067100217061573	0.142153245138312	0.06379200775974914	0.03119566299295746	0.00547229043751057	0.020838406697865085	0.027015050178351197
474.964	0.02239158245809084	0.06913444453414934	0.14106205618409726	0.06370364396343288	0.03274670151674393	0.005447894472653902	0.02158312247825873	0.026575733052272874
475.8244	0.021449209590351934	0.0661958881618399	0.13850587294380245	0.06208215637000926	0.031841235253759086	0.003776410340210756	0.020563946347650006	0.025908778453419004
476.714	0.017393892567460694	0.05276560896202882	0.1414952448360871	0.058847885981231605	0.03514344075291072	0.0048298470390563545	0.01991798480940081	0.023706919186738947
477.5261	0.01459068961463959	0.043287837534713235	0.14539705155049998	0.05842829679100271	0.04043254400352576	0.0049272461116145125	0.024982229866780677	0.015531875078955511
478.3363	0.013631672232107116	0.03880988793909232	0.1462196908531654	0.058258482623336	0.040430530690122646	0.006861909153877597	0.024934148907482533	0.013937849940466845
479.2973	0.012184379186743784	0.021324308052908653	0.14508120014025946	0.05791254066046314	0.03799378436285792	0.009683281927475019	0.025077403692081456	0.014251339044062224
480.0243	0.012435818483078771	0.013095276809410085	0.14101064459155027	0.05787100542992077	0.031459702329264344	0.010458152955617897	0.02270314689048379	0.013607143098647342
480.9487	0.012004634548235782	0.02162293459973654	0.14088540470040675	0.056871519216414215	0.035002123709632744	0.010784809990373897	0.02152144761072946	0.01217950404164753
481.8044	0.011521519955209067	0.019838013575727252	0.141738977760725	0.05632454542575043	0.03789608302243885	0.009369014313128204	0.02134072722783491	0.01262338917437287
482.7567	0.011498982119017278	0.021473294577149884	0.14177213524951301	0.06052985654028777	0.04216307058765442	0.007274066585436528	0.021361742840631134	0.014849622468664335
483.6037	0.0156061963989266	0.03541026795793388	0.1424617967392495	0.060997106436362865	0.03862276230764016	0.00436947857543022	0.020992399243330098	0.013515695469145564
484.5111	0.01680374215871548	0.048212635256313065	0.14185054727630106	0.06108714806544778	0.03250540580122695	0.0020485137271957442	0.023014163905734356	0.013203729745138521
485.4786	0.020484652384701964	0.0650654297973634	0.14271945601285185	0.060764430222456894	0.03514360176440356	0.0021467234025017946	0.023054195413374466	0.015593887583295057
486.3436	0.02453278185411941	0.08078324554213344	0.14143482687578107	0.06945116954195225	0.037019052809878675	0.0028102619403967393	0.022052082566488995	0.016979102701876136
