Temp	Acetaldehyde relative uncertainty	(E) 2-Butenal (Crotonaldehyde relative uncertainty	CO relative uncertainty	CO2 relative uncertainty	Ethylene (Ethene) relative uncertainty	Ethanol relative uncertainty	H2 relative uncertainty	H2O relative uncertainty
446.7876	0.027580002014219805	0.02402847303469304	0.03127061422686277	0.031209158804992247	0.059397185089512056	0.0313116973077133	0.0282842712474619	0.030519056989679945
447.5913	0.07372843948399638	0.15194122210497502	0.03173289357807539	0.035528558582332476	0.07222320608290984	0.08516573317755972	0.029298906243701107	0.0418261010418663
448.4523	0.07222227375718084	0.16750842784758915	0.03175895890693111	0.037228979616333646	0.07349913939175573	0.07303834057252677	0.06146475608669612	0.0508832273849507
449.2989	0.07367034030452549	0.16767641300552324	0.03184353628832313	0.03814648794638015	0.06905664284378829	0.055300160789615645	0.0531219071454357	0.06304799441460417
450.1829	0.06937517599243825	0.20333728422525746	0.031827037155970135	0.03825998198249492	0.06951236700232273	0.0438996890750535	0.05175214548769716	0.06641933851000958
451.0553	0.06976968525806249	0.19381281167957848	0.03313433942400704	0.03718760471421512	0.0714993936225631	0.03561826967372158	0.037799424918378066	0.07791888123400706
452.0611	0.06071353521072626	0.15129165554227617	0.034514080417519355	0.03548878698825987	0.06745446226606938	0.058587239700567936	0.03525388922140759	0.08463293597752132
452.866	0.04762180098893745	0.07590893094703678	0.0347237776106167	0.033227252197606215	0.06779585673416286	0.07211537777871814	0.032509210244612625	0.0790500402850459
453.8276	0.04191629402140639	0.05926242489068917	0.034099037949044515	0.03396139312925879	0.08254330036727449	0.08249246113130605	0.03035844846165689	0.061565528055229926
454.7148	0.034015721819711686	0.047725054213213325	0.03257992882017936	0.03367968996224738	0.09844695346951485	0.11845688857676752	0.03415335001676596	0.049642920225844565
455.5357	0.030645619817562593	0.043557104689091145	0.03269861975019651	0.03360081486364113	0.12010446926243659	0.17690791702416953	0.03388422771044178	0.040388356853266215
456.419	0.03151309161124647	0.05912357386200448	0.03213815016570897	0.03294811078520668	0.07736177523637072	0.18082247352625586	0.032006878886603696	0.03535998278289791
457.3581	0.0403474566750573	0.06198317408804507	0.03158374758858328	0.03405314299885976	0.07126379470909186	0.1696230453319239	0.03133173009331067	0.03516822805871456
458.2446	0.050305673994897174	0.07202502903933707	0.031657992439739206	0.034799564667976395	0.07435248385047025	0.12826351497391503	0.03167227776173362	0.03370757064341576
459.005	0.05563369622895318	0.09862046202123328	0.03168196927112053	0.03430535264179006	0.07861573946298359	0.05957563962531531	0.03156403576339239	0.035772000051079576
459.986	0.05935317644526268	0.13719063219611247	0.0317462733725327	0.034237979426519544	0.09051729164621276	0.04222058887313435	0.030175832570927243	0.05101815041690916
460.8908	0.06818790986125832	0.15353989074136504	0.03160936835111583	0.03387446549018964	0.06961835309653581	0.08605297833374478	0.03399132511721819	0.053096280443465683
461.7132	0.07391639889012415	0.21116689057849236	0.03186745583512517	0.03569781508540486	0.0704215948201942	0.12145545181810527	0.03914878701090395	0.05121727740572119
462.6143	0.08051894642091993	0.21107199082708478	0.03194370362805152	0.0395807537537232	0.0734205255162495	0.12603460904800712	0.040913694387287404	0.05000968613230666
463.3707	0.0703993743615656	0.20992198357116423	0.031898361816431284	0.039265545179137405	0.07171785476987963	0.13280828924919774	0.045099790246912935	0.046130208004593214
464.2265	0.06093145942880126	0.1834818510040961	0.0317043982428101	0.0372673563402464	0.06805250036526458	0.13062755026915562	0.03319534944440358	0.04232396632394375
465.092	0.062088820575957916	0.17580971143157642	0.03167987594636879	0.03704051303136304	0.08329811386620302	0.19450400818879007	0.036050896991981836	0.043392577921142796
466.0494	0.07068984989662541	0.14843848734657952	0.031957300884780326	0.03743259393085623	0.10694523988755253	0.23838561606216557	0.028913452361987033	0.04489575438932837
466.9275	0.0669610778473817	0.12145633493778821	0.03181924001411515	0.036353140178371934	0.11117581142862792	0.2905700150315641	0.030849942825343774	0.03455336669620891
467.8186	0.05599991424540952	0.08296035820953927	0.03180966973000513	0.03298386762626167	0.09255744101770198	0.2552670772368792	0.03404786271015279	0.03352457936296506
468.6942	0.042930682972052596	0.05039477918098975	0.03182715297265209	0.03269008188734718	0.09020165296325329	0.3097698686454044	0.0362631111899684	0.033653890112441166
469.5271	0.04161354427675248	0.056001223138234614	0.031632878710976774	0.0326271158566737	0.10995616738624217	0.2744553650458839	0.03603207091144789	0.03116162953256963
470.481	0.04446915522144855	0.07111383707477538	0.03178277625130312	0.03371254074388088	0.11871705107433216	0.26724203316391815	0.03485875204753391	0.03906992175841563
