Mass	Acetaldehyde	(E) 2-Butenal (Crotonaldehyde	CO	CO2	Ethylene (Ethene)	Ethanol	H2	H2O
1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0
12.0	0.0	0.0	6.132114125842048	13.85514751928736	0.0	0.0	0.0	0.0
13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15.0	0.0	0.0	0.0	0.0	0.0	8.59222336739209	0.0	0.0
16.0	0.0	0.0	0.0	14.257483979568681	0.0	0.0	0.0	0.0
17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.587715476745302
18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0
19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25.0	0.0	6.203806169123812	0.0	0.0	8.182601487215093	0.0	0.0	0.0
26.0	10.701070107010702	21.98502757380998	0.0	0.0	54.61005634242505	10.617674226490585	0.0	0.0
27.0	7.740774077407742	58.92724675382846	0.0	0.0	63.32545620828447	23.784859078083752	0.0	0.0
28.0	61.03610361036104	0.0	100.0	11.961704442827608	100.0	0.0	0.0	0.0
29.0	100.0	45.50292126155967	0.0	0.0	0.0	30.73673009667451	0.0	0.0
30.0	0.0	0.0	0.0	0.0	0.0	8.2389447928761	0.0	0.0
31.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0
33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37.0	0.0	18.835397261973345	0.0	0.0	0.0	0.0	0.0	0.0
38.0	0.0	29.98505241177037	0.0	0.0	0.0	0.0	0.0	0.0
39.0	0.0	99.14379264427937	0.0	0.0	0.0	0.0	0.0	0.0
40.0	0.0	27.29191995667869	0.0	0.0	0.0	0.0	0.0	0.0
41.0	5.4605460546054605	100.0	0.0	0.0	0.0	0.0	0.0	0.0
42.0	0.0	29.698963056212985	0.0	0.0	0.0	0.0	0.0	0.0
43.0	0.0	0.0	0.0	0.0	0.0	9.89855002990601	0.0	0.0
44.0	99.9899989999	0.0	0.0	100.0	0.0	0.0	0.0	0.0
45.0	0.0	0.0	0.0	0.0	0.0	43.762209857363835	0.0	0.0
46.0	0.0	0.0	0.0	0.0	0.0	18.23431239739768	0.0	0.0
47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
51.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
66.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
67.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
68.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
69.0	0.0	60.74497215998409	0.0	0.0	0.0	0.0	0.0	0.0
70.0	0.0	77.12648372941881	0.0	0.0	0.0	0.0	0.0	0.0
71.0	0.0	7.57738385044269	0.0	0.0	0.0	0.0	0.0	0.0
72.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
