Temp,Acetaldehyde Concentration(bar),(E) 2-Butenal (Crotonaldehyde Concentration(bar),CO Concentration(bar),CO2 Concentration(bar),Ethylene (Ethene) Concentration(bar),Ethanol Concentration(bar),Crotyl Alcohol Concentration(bar),H2 Concentration(bar),H2O Concentration(bar)
176.8481,0.01138613571519963,0.0023681554389677647,0.030656061578901054,0.01577726538392226,0.0033882180089795377,8.665720721716729e-06,0.0004099027218596086,0.008813714399905003,0.0029208064202579545
176.8945,0.011522339099035453,0.0023713092206404432,0.030653014233444503,0.0157658042000781,0.0033878783984134897,8.673847270206326e-06,0.000408781418602807,0.008813959599838368,0.002922909337143675
176.8788,0.011476253040280706,0.00237024210054861,0.030654045339558032,0.01576968222995642,0.003387993309747261,8.671097554445844e-06,0.0004091608250927162,0.008813876633481606,0.0029221977898353617
176.7941,0.011227623156425238,0.00236448508960732,0.030659608058527223,0.015790603830637403,0.003388613245414159,8.656263100629702e-06,0.0004112076868567483,0.008813429037913588,0.0029183590600892263
176.7974,0.011237310035017094,0.0023647093887349045,0.030659391329216728,0.015789788703338147,0.0033885890920764866,8.656841066362799e-06,0.0004111279389958116,0.008813446476701955,0.002918508620988429
176.8505,0.011393180717811901,0.002368318565606007,0.030655903957584343,0.015776672564068242,0.003388200442915781,8.666141060431712e-06,0.00040984472341529097,0.008813727082660178,0.0029209151918210097
176.9009,0.011541125772668012,0.002371744225009089,0.03065259390993325,0.01576422334713409,0.0033878315555767925,8.674968173446272e-06,0.00040862675608462735,0.00881399342051883,0.0029231993946451543
176.9665,0.011733689177401288,0.002376203019787701,0.030648285593942958,0.015748019604457927,0.0033873514165006584,8.686457431655701e-06,0.00040704146527328775,0.008814340082493589,0.0029261724840353104
176.9055,0.011554628694341375,0.0023720568843990514,0.03065229180240954,0.015763087109080556,0.0033877978872879073,8.675773822649981e-06,0.00040851559239968657,0.008814017729132916,0.0029234078734743404
176.8099,0.011274002756955571,0.0023655590066424138,0.03065857038485882,0.015786701099931844,0.003388497602161067,8.659030330503316e-06,0.00041082586376499255,0.008813512532718485,0.0029190751395460025
176.8533,0.011401399887526064,0.0023685088800172883,0.030655720066048164,0.015775980940905227,0.0033881799491747196,8.666631455599186e-06,0.00040977705856358823,0.00881374187920788,0.0029210420919779053
176.9335,0.011636820391483636,0.002373960028511876,0.03065045288704784,0.0157561708774505,0.003387592949877371,8.68067777432474e-06,0.0004078389438826505,0.008814165694609945,0.002924676875043311
176.881,0.01148271095934179,0.0023703916333003327,0.030653900853351054,0.015769138811756934,0.0033879772075221535,8.67148286493457e-06,0.00040910765985209226,0.008813888259340513,0.002922297497101493
